Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
201,18.4,14.5,4.5312,3.3229,59.7944,59.8249,09:03:50.912
202,18.2,15.0,3.8138,2.983,60.0984,60.1357,09:03:51.673
203,17.7,14.3,2.6054,2.4166,59.8144,59.9823,09:03:52.446
204,17.7,14.8,4.1536,2.6054,39.1652,39.5435,09:03:53.206
205,17.7,14.8,2.7187,2.3411,39.7165,39.3948,09:03:53.968
206,17.7,14.5,3.3984,2.7942,39.4138,39.4641,09:03:54.727
207,17.7,14.1,2.5677,2.1523,39.9736,39.4931,09:03:55.486
208,18.2,14.5,3.625,2.4922,39.7258,39.5541,09:03:56.229
209,18.2,14.8,3.1718,2.7942,39.7134,39.3643,09:03:57.002
210,18.2,14.5,4.8333,2.7187,39.7468,39.678,09:03:57.741
211,18.2,14.1,2.7942,2.5677,39.6756,39.4345,09:03:58.503
212,18.2,14.1,3.625,2.983,39.51,39.4961,09:03:59.269
213,18.2,14.5,3.0963,3.0963,39.553,39.4761,09:04:00.030
214,18.2,14.3,3.2474,2.9453,39.4314,39.4153,09:04:00.788
215,17.7,15.2,2.4166,2.5677,39.8361,39.6963,09:04:01.567
216,17.7,14.5,3.1718,2.3034,39.2728,39.7818,09:04:02.329
217,17.9,15.0,2.7942,2.4544,39.9717,39.5171,09:04:03.091
218,17.9,14.3,4.0026,2.4544,39.5572,39.7076,09:04:03.867
219,18.2,14.8,3.0963,3.8138,39.4916,39.5106,09:04:04.625
220,17.7,14.5,3.8515,2.9075,39.5849,39.6879,09:04:05.383
221,17.7,14.1,2.9075,2.0768,39.5217,39.5813,09:04:06.147
222,18.4,14.8,3.8515,2.4544,39.7408,39.786,09:04:06.905
223,18.2,15.2,2.7565,1.4349,22.6139,38.8901,09:04:07.663
224,17.9,14.1,3.3606,1.8125,20.3455,20.4867,09:04:08.437
225,18.2,14.5,2.7942,2.1901,20.506,20.4982,09:04:09.201
226,18.4,14.5,2.681,1.888,20.2272,20.3488,09:04:09.961
227,18.2,14.3,2.2278,2.7942,20.4127,20.3634,09:04:10.756
228,17.5,15.0,2.9453,2.6054,20.3065,20.6978,09:04:11.513
229,17.9,15.4,3.6627,2.1146,20.2607,20.3699,09:04:12.285
230,18.2,14.8,3.2096,1.6237,20.5241,20.4325,09:04:13.050
231,18.4,14.3,2.3789,2.039,20.3014,20.5797,09:04:13.810
232,18.4,14.5,2.7942,2.2278,20.3353,20.3094,09:04:14.573
233,17.9,14.3,3.0208,2.3411,20.4976,20.2012,09:04:15.337
234,18.2,14.5,3.1718,1.3216,20.5673,20.3798,09:04:16.099
235,17.9,14.5,2.5677,2.4922,19.9643,20.1977,09:04:16.861
236,18.2,14.5,3.3606,2.1523,20.6046,20.3543,09:04:17.624
237,18.2,14.3,3.2474,2.4544,20.6466,20.3392,09:04:18.396
238,18.2,14.5,2.7565,2.4166,20.4068,20.2248,09:04:19.154
239,17.7,14.8,2.6054,1.9635,20.2894,20.4489,09:04:19.918
240,17.9,14.8,3.1341,2.039,20.485,20.4589,09:04:20.679
241,18.2,14.5,3.1718,2.4922,19.9634,20.1741,09:04:21.453
242,18.2,13.6,2.4544,2.039,20.4092,20.4747,09:04:22.216
