Log,mixer_motor_temperature_M1,mixer_speed_M2,cp_temperature,cp_pressure,cp_flowrate,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_torque_M2,mixer_temperature_Funnel,ac_flowrate,mixer_speed_M1,mixer_motor_temperature_M2,mixer_torque_M1,Time
222,19.5,59.815,25.9,0.63,3.0,0.271,25.6,2.341,25.7,103.2,59.815,20.9,2.001,12:15:51.392
223,19.1,60.17,24.5,0.601,3.0,0.237,25.6,2.115,25.7,103.2,60.17,20.9,2.379,12:15:52.507
224,18.4,59.944,24.5,0.586,3.0,0.228,27.7,2.605,27.2,103.2,59.944,20.9,1.926,12:15:53.623
225,18.8,60.087,24.5,0.546,3.0,0.278,27.8,2.454,25.7,103.2,60.087,20.7,2.228,12:15:54.745
226,19.8,59.536,25.9,0.601,3.0,0.305,25.7,2.756,25.7,103.2,59.536,21.1,2.115,12:15:55.870
227,18.8,60.262,25.9,0.573,3.0,0.305,25.7,2.454,25.7,103.2,60.262,20.4,1.661,12:15:56.993
228,19.3,59.457,24.5,0.605,3.0,0.266,25.7,2.152,25.7,103.2,59.457,20.4,2.115,12:15:58.116
229,19.3,59.853,24.5,0.558,3.0,0.294,25.7,2.115,27.2,103.2,59.853,20.4,1.624,12:15:59.237
230,18.8,59.595,24.5,0.579,3.0,0.188,27.8,1.85,25.7,103.2,59.595,20.7,2.379,12:16:00.364
231,19.3,59.77,24.5,0.54,3.0,0.212,27.8,2.228,27.2,103.2,59.77,20.7,2.303,12:16:01.505
232,19.1,59.64,24.5,0.587,3.0,0.259,25.7,2.379,25.7,103.2,59.64,20.7,2.077,12:16:02.626
233,19.3,59.559,24.5,0.626,3.0,0.313,25.7,2.643,25.7,103.2,59.559,20.2,2.417,12:16:03.765
234,19.3,59.922,26.0,0.591,3.0,0.256,25.7,2.454,25.6,103.2,59.922,20.7,2.039,12:16:04.889
235,18.6,59.907,24.5,0.591,3.0,0.331,25.7,2.794,25.6,103.2,59.907,20.4,1.85,12:16:06.014
236,19.3,60.263,24.5,0.584,3.0,0.283,25.7,2.379,27.1,103.2,60.263,20.7,2.115,12:16:07.139
237,18.6,60.023,24.5,0.603,3.0,0.316,27.8,1.85,25.6,103.2,60.023,20.9,1.775,12:16:08.260
238,19.1,60.628,26.0,0.612,3.0,0.24,25.7,1.926,25.6,103.2,60.628,20.4,1.473,12:16:09.380
239,19.5,60.314,26.0,0.565,3.0,0.27,25.7,2.039,25.7,103.2,60.314,20.9,2.077,12:16:10.508
240,18.4,60.566,24.5,0.574,3.0,0.265,25.7,2.303,25.6,103.2,60.566,20.9,2.417,12:16:11.621
241,19.3,60.753,24.5,0.524,3.0,0.232,25.7,3.625,27.1,103.2,60.753,21.1,2.039,12:16:12.745
242,18.4,59.567,24.5,0.54,3.0,0.284,27.8,2.341,25.6,103.2,59.567,20.7,2.643,12:16:13.863
243,19.3,59.97,26.0,0.593,3.0,0.278,25.7,2.568,25.6,103.2,59.97,20.9,1.661,12:16:14.987
244,18.8,60.015,24.5,0.536,3.0,0.327,25.7,2.077,25.6,103.2,60.015,20.4,1.812,12:16:16.108
245,18.6,60.293,24.5,0.564,3.0,0.261,25.8,1.85,27.1,103.2,60.293,20.9,2.001,12:16:17.228
246,18.8,59.332,24.5,0.563,3.0,0.226,27.8,1.699,25.6,103.2,59.332,20.7,3.436,12:16:18.352
247,18.6,60.336,24.5,0.621,3.0,0.269,27.9,1.85,25.6,103.2,60.336,20.4,2.53,12:16:19.476
248,19.3,60.63,26.0,0.555,3.0,0.317,25.7,2.756,25.6,103.2,60.63,20.4,2.454,12:16:20.589
249,18.4,60.516,24.5,0.64,3.0,0.27,25.8,1.888,25.6,103.2,60.516,20.7,2.492,12:16:21.717
250,19.1,60.338,24.5,0.597,3.0,0.251,25.8,2.115,25.6,103.2,60.338,20.7,2.53,12:16:22.858
251,19.8,59.917,24.5,0.51,3.0,0.286,25.8,2.53,25.6,103.2,59.917,20.4,1.775,12:16:23.992
252,18.6,59.923,24.5,0.634,3.0,0.31,25.8,3.021,27.1,103.2,59.923,21.1,1.548,12:16:25.116
253,18.4,59.907,24.5,0.641,3.0,0.293,25.8,2.719,27.1,103.2,59.907,20.9,1.699,12:16:26.253
254,19.3,59.966,24.5,0.543,3.0,0.194,27.9,2.492,25.6,103.2,59.966,20.7,1.548,12:16:27.375
255,19.3,59.637,26.0,0.584,3.0,0.273,25.8,2.039,25.6,103.2,59.637,20.4,2.417,12:16:28.498
256,19.3,59.579,24.5,0.479,3.0,0.25,25.8,2.417,25.6,103.2,59.579,20.9,2.228,12:16:29.619
257,18.8,59.431,24.5,0.525,3.0,0.278,25.8,2.303,25.6,103.2,59.431,20.7,2.945,12:16:30.754
258,19.8,60.946,24.5,0.587,3.0,0.251,25.8,2.039,27.1,103.2,60.946,20.7,1.812,12:16:31.873
259,19.3,60.499,24.5,0.559,3.0,0.26,25.8,2.266,27.1,103.2,60.499,20.7,1.473,12:16:33.009
260,19.3,59.84,24.5,0.654,3.0,0.326,27.9,2.53,25.6,103.2,59.84,20.9,1.888,12:16:34.134
261,18.6,60.494,26.0,0.615,3.0,0.248,27.9,2.53,25.6,103.2,60.494,20.9,1.586,12:16:35.253
262,18.8,60.078,26.0,0.597,3.0,0.288,25.8,2.115,25.6,103.2,60.078,20.7,2.228,12:16:36.380
263,18.6,61.006,24.6,0.587,3.0,0.248,25.8,2.379,25.6,103.2,61.006,20.7,1.812,12:16:37.505
264,18.8,59.955,24.5,0.554,3.0,0.264,25.8,2.228,27.1,103.2,59.955,20.7,1.699,12:16:38.628
265,19.1,60.096,24.6,0.558,3.0,0.291,27.9,2.303,25.6,103.2,60.096,21.1,2.039,12:16:39.752
266,18.8,59.233,24.6,0.536,3.0,0.304,27.9,3.096,25.6,103.2,59.233,20.9,3.059,12:16:40.882
267,18.8,60.224,26.0,0.605,3.0,0.26,25.8,2.454,25.6,103.2,60.224,20.7,1.964,12:16:42.002
268,19.1,59.976,24.6,0.63,3.0,0.265,25.8,2.341,25.6,103.2,59.976,20.7,1.51,12:16:43.123
269,19.3,59.649,24.6,0.586,3.0,0.243,25.8,2.794,27.1,103.2,59.649,20.7,2.039,12:16:44.249
270,19.3,61.35,24.5,0.569,3.0,0.265,25.8,2.341,27.1,103.2,61.35,20.7,2.266,12:16:45.371
271,18.8,60.326,24.6,0.598,3.0,0.298,27.9,2.039,25.6,103.2,60.326,21.1,2.643,12:16:46.497
272,18.8,59.925,26.0,0.546,3.0,0.295,25.8,2.228,25.6,103.2,59.925,20.9,2.379,12:16:47.619
273,18.8,59.773,24.6,0.584,3.0,0.261,25.9,2.303,25.6,103.2,59.773,21.1,2.152,12:16:48.742
274,19.3,59.649,24.6,0.513,3.0,0.238,25.9,2.228,25.6,103.2,59.649,21.1,2.492,12:16:49.867
275,18.6,59.746,24.6,0.563,3.0,0.242,25.9,2.152,27.1,103.2,59.746,20.7,1.661,12:16:50.992
276,18.8,59.9,24.6,0.615,3.0,0.281,28.0,2.228,25.6,103.2,59.9,20.9,1.888,12:16:52.114
277,19.3,59.775,26.0,0.612,3.0,0.28,28.0,2.039,25.6,103.2,59.775,20.7,1.926,12:16:53.234
278,18.8,59.665,24.6,0.582,3.0,0.237,25.9,2.039,25.6,103.2,59.665,21.1,3.587,12:16:54.357
279,18.8,60.124,24.6,0.601,3.0,0.273,25.9,2.115,25.6,103.2,60.124,20.7,1.888,12:16:55.493
280,19.8,59.935,24.6,0.549,3.0,0.227,25.9,2.379,27.1,103.2,59.935,20.4,2.115,12:16:56.615
281,18.8,58.943,24.6,0.597,3.0,0.281,25.9,2.341,25.6,103.2,59.986,21.1,2.568,12:16:57.733
282,19.1,60.749,26.0,0.596,3.0,0.266,28.0,2.303,25.6,103.2,60.749,20.9,2.303,12:16:58.855
283,19.5,59.972,26.0,0.601,3.0,0.284,25.9,1.926,25.6,103.2,59.972,21.1,3.096,12:16:59.978
284,19.3,59.989,24.6,0.608,3.0,0.299,25.9,1.964,25.6,103.2,59.989,20.9,1.661,12:17:01.095
285,19.1,59.545,24.6,0.586,3.0,0.271,26.0,2.832,25.6,103.2,59.545,20.7,1.51,12:17:02.235
286,18.6,60.045,24.6,0.582,3.0,0.319,26.0,1.888,25.6,103.2,60.092,20.9,1.586,12:17:03.373
287,19.8,60.213,24.6,0.596,3.0,0.326,26.0,2.341,27.1,103.2,60.213,20.7,2.228,12:17:04.497
288,19.3,59.877,26.0,0.538,3.0,0.298,28.1,2.19,25.6,103.2,59.877,20.7,2.266,12:17:05.609
289,18.8,60.011,24.6,0.558,3.0,0.254,26.0,2.077,25.6,103.2,60.011,20.7,2.001,12:17:06.725
290,19.5,60.077,24.6,0.587,3.0,0.299,26.0,2.266,27.1,103.2,60.077,20.7,2.152,12:17:07.852
291,19.5,60.094,24.6,0.616,3.0,0.24,26.0,2.832,27.1,103.2,60.094,21.1,2.152,12:17:08.975
292,18.8,59.868,24.6,0.61,3.0,0.251,28.1,2.303,25.6,103.2,59.868,20.9,1.624,12:17:10.095
293,19.3,59.887,26.1,0.53,3.0,0.251,28.1,1.964,25.6,103.2,59.887,20.9,2.039,12:17:11.219
294,19.1,60.162,26.1,0.551,3.0,0.283,26.0,1.548,25.6,103.2,60.162,20.7,1.888,12:17:12.353
295,19.8,59.95,24.6,0.592,3.0,0.26,26.0,1.964,25.6,103.2,59.95,20.7,2.152,12:17:13.478
296,18.4,60.172,24.6,0.551,3.0,0.255,26.1,2.454,27.1,103.2,60.172,21.1,1.964,12:17:14.601
297,19.3,60.239,24.6,0.613,3.0,0.342,26.1,2.379,25.6,103.2,60.239,20.7,2.152,12:17:15.718
298,19.3,59.809,26.1,0.663,3.0,0.27,28.2,2.228,25.6,103.2,59.809,21.1,2.417,12:17:16.844
299,19.5,60.426,26.1,0.62,3.0,0.208,26.1,2.568,25.6,103.2,60.426,20.7,2.152,12:17:17.967
300,19.3,59.88,24.6,0.597,3.0,0.309,26.1,2.53,25.6,103.2,59.88,21.1,2.077,12:17:19.092
301,19.1,59.642,24.6,0.574,3.0,0.242,26.1,2.417,27.1,103.2,59.642,20.9,2.417,12:17:20.217
302,19.8,60.874,24.6,0.596,3.0,0.24,26.1,2.341,27.1,103.2,60.874,20.7,2.228,12:17:21.357
303,19.8,59.195,24.7,0.634,3.0,0.31,26.1,2.039,25.6,103.2,59.195,20.7,3.927,12:17:22.483
304,18.8,59.723,24.7,0.559,3.0,0.236,28.2,2.492,25.6,103.2,59.723,20.7,2.756,12:17:23.603
305,19.3,59.954,26.1,0.559,3.0,0.303,28.2,2.077,25.7,103.2,59.954,20.9,2.568,12:17:24.724
306,19.3,59.982,24.7,0.597,3.0,0.284,26.2,2.001,25.7,103.2,59.982,20.9,1.964,12:17:25.850
307,19.5,60.543,24.7,0.577,3.0,0.256,26.2,2.115,25.7,103.2,60.543,20.7,2.681,12:17:26.975
308,19.8,59.958,24.7,0.592,3.0,0.288,26.2,2.492,27.1,103.2,59.958,21.1,1.699,12:17:28.102
309,18.8,59.74,24.7,0.598,3.0,0.271,26.2,2.152,27.1,103.2,59.74,20.7,2.303,12:17:29.244
310,19.3,60.038,24.7,0.582,3.0,0.284,26.2,2.115,25.7,103.2,60.038,20.7,2.001,12:17:30.365
311,19.1,59.556,26.1,0.592,3.0,0.283,28.3,2.152,25.7,103.2,59.556,21.1,2.228,12:17:31.489
312,18.8,59.88,24.7,0.597,3.0,0.336,26.2,2.19,25.7,103.2,59.88,20.7,2.228,12:17:32.611
313,19.8,60.3,24.7,0.624,3.0,0.25,26.2,2.643,25.7,103.2,60.3,20.7,2.001,12:17:33.736
314,19.3,60.046,24.7,0.582,3.0,0.304,26.2,2.039,27.1,103.2,60.046,21.1,2.266,12:17:34.861
315,19.1,59.876,24.7,0.659,3.0,0.286,26.2,2.983,25.7,103.2,59.876,20.9,2.53,12:17:35.985
316,19.8,59.988,26.1,0.588,3.0,0.256,28.3,2.228,25.7,103.2,59.988,20.9,1.548,12:17:37.107
317,18.8,59.756,26.1,0.536,3.0,0.299,28.3,2.605,25.7,103.2,59.756,20.9,3.474,12:17:38.250
318,19.3,59.73,26.2,0.605,3.0,0.265,28.4,1.737,25.7,103.2,59.73,21.1,1.661,12:17:39.373
319,19.8,59.802,24.7,0.719,3.0,0.201,26.3,2.379,25.7,103.2,59.802,20.7,3.965,12:17:40.498
320,18.8,60.041,24.7,0.626,3.0,0.276,26.3,3.436,25.7,103.2,60.041,20.9,2.115,12:17:41.625
321,18.8,59.557,24.7,0.581,3.0,0.214,26.3,2.832,27.2,103.2,59.557,21.3,2.832,12:17:42.745
322,19.1,58.842,26.2,0.592,3.0,0.259,28.4,2.077,25.7,103.2,58.842,20.7,3.7,12:17:43.863
323,19.3,60.053,26.1,0.559,3.0,0.271,28.4,2.492,25.7,103.2,60.053,21.1,1.888,12:17:45.002
324,19.3,59.772,26.1,0.559,3.0,0.26,28.4,3.172,25.7,103.2,59.772,21.1,1.812,12:17:46.138
325,18.8,59.396,26.2,0.544,3.0,0.322,28.4,3.7,25.7,103.2,59.396,21.1,3.436,12:17:47.276
326,19.3,59.775,24.7,0.554,3.0,0.233,26.3,2.341,25.7,103.2,59.775,21.1,2.681,12:17:48.396
327,19.3,59.964,24.7,0.596,3.0,0.295,26.4,2.417,25.7,103.2,59.964,21.1,2.228,12:17:49.534
328,19.3,59.909,24.7,0.503,3.0,0.288,26.4,2.643,27.2,103.2,59.909,21.1,2.152,12:17:50.655
329,19.3,59.908,24.7,0.613,3.0,0.251,26.4,2.87,27.2,103.2,59.908,21.6,3.814,12:17:51.794
330,19.8,60.346,24.7,0.584,3.0,0.38,26.4,2.568,27.2,103.2,60.346,21.1,3.021,12:17:52.934
331,19.3,60.353,24.7,0.554,3.0,0.289,26.4,2.908,25.7,103.2,60.353,21.1,2.492,12:17:54.055
332,19.8,58.655,26.2,0.63,3.0,0.25,28.5,3.889,25.7,103.2,58.655,21.6,3.361,12:17:55.177
333,18.8,60.038,26.2,0.544,3.0,0.221,28.5,2.794,25.7,103.2,60.038,21.3,2.794,12:17:56.312
334,19.3,60.087,24.7,0.596,3.0,0.293,28.5,2.719,25.7,103.2,60.087,21.1,2.643,12:17:57.433
335,20.0,59.717,24.7,0.613,3.0,0.276,28.5,3.021,25.7,103.2,59.717,21.1,3.021,12:17:58.572
336,18.8,59.722,24.7,0.555,3.0,0.275,26.4,2.681,27.2,103.2,59.722,21.3,3.021,12:17:59.701
337,18.8,60.06,24.7,0.624,3.0,0.288,26.5,2.681,25.8,103.2,60.06,21.3,2.908,12:18:00.820
338,18.6,59.873,26.2,0.624,3.0,0.248,26.5,2.756,25.8,103.2,59.873,21.1,2.53,12:18:01.942
339,19.8,59.992,24.7,0.558,3.0,0.28,26.5,3.134,25.8,103.2,59.992,21.3,2.303,12:18:03.096
340,19.8,59.921,26.2,0.62,3.0,0.266,26.5,2.643,25.7,103.2,59.921,21.1,2.568,12:18:04.223
341,19.8,60.64,26.2,0.613,3.0,0.294,28.6,2.152,25.8,103.2,60.64,21.1,2.53,12:18:05.346
342,18.8,61.481,24.8,0.577,3.0,0.303,26.5,1.964,25.8,103.2,61.481,20.9,2.039,12:18:06.470
343,19.3,59.829,24.7,0.573,3.0,0.273,26.5,2.228,25.8,103.2,59.829,21.1,2.303,12:18:07.599
344,19.1,60.046,24.8,0.511,3.0,0.27,26.5,2.492,27.3,103.2,60.046,21.1,2.643,12:18:08.723
345,20.0,60.149,24.8,0.524,3.0,0.3,26.5,2.115,25.8,103.2,60.149,21.1,2.605,12:18:09.848
346,19.1,59.95,26.2,0.582,3.0,0.289,28.6,2.417,25.8,103.2,59.95,21.1,2.568,12:18:10.965
347,18.8,59.852,24.8,0.613,3.0,0.295,28.6,2.983,25.8,103.2,59.852,21.6,2.417,12:18:12.087
348,19.3,59.984,24.8,0.579,3.0,0.273,26.5,2.605,27.3,103.2,59.984,21.3,2.228,12:18:13.212
349,19.3,59.887,24.8,0.635,3.0,0.266,26.5,2.001,25.8,103.2,59.887,21.1,2.719,12:18:14.354
350,19.3,60.134,24.8,0.507,3.0,0.299,26.5,2.266,27.3,103.2,60.134,21.1,2.077,12:18:15.492
351,19.3,59.635,24.8,0.638,3.0,0.31,26.5,3.474,27.3,103.2,59.635,21.1,2.454,12:18:16.619
352,19.5,60.376,24.8,0.621,3.0,0.248,26.5,2.341,25.8,103.2,60.376,21.3,2.492,12:18:17.745
353,18.6,59.837,26.2,0.626,3.0,0.289,26.5,2.53,25.8,103.2,59.837,20.7,2.228,12:18:18.872
354,19.3,59.89,26.2,0.601,3.0,0.271,28.7,2.681,25.8,103.2,59.89,20.9,2.228,12:18:19.992
355,19.3,59.573,24.8,0.52,3.0,0.284,26.6,2.605,25.8,103.2,59.573,21.6,2.266,12:18:21.121
356,19.1,59.809,24.8,0.582,3.0,0.243,26.6,2.53,25.8,103.2,59.809,20.7,2.19,12:18:22.248
357,19.5,60.323,24.8,0.573,3.0,0.247,26.6,2.379,27.3,103.2,60.323,21.1,2.341,12:18:23.385
358,19.8,59.67,24.8,0.56,3.0,0.313,26.6,2.228,25.8,103.2,59.67,21.1,2.53,12:18:24.506
359,19.3,60.053,26.2,0.579,3.0,0.259,26.6,2.794,25.8,103.2,60.053,21.1,1.888,12:18:25.630
360,19.1,59.843,26.2,0.625,3.0,0.328,28.7,2.756,25.8,103.2,59.843,21.6,2.643,12:18:26.752
361,19.1,59.952,24.8,0.605,3.0,0.264,28.7,3.474,25.8,103.2,59.952,21.1,2.115,12:18:27.879
362,19.8,59.81,24.8,0.586,3.0,0.266,26.6,3.134,27.3,103.2,59.81,21.1,2.417,12:18:29.002
363,19.8,60.118,24.8,0.579,3.0,0.247,26.6,2.379,27.3,103.2,60.118,21.3,1.548,12:18:30.126
364,19.1,60.359,24.8,0.607,3.0,0.281,26.6,2.492,25.8,103.2,60.359,21.1,2.379,12:18:31.251
365,20.4,60.017,26.2,0.551,3.0,0.278,26.6,2.077,25.8,103.2,60.017,21.3,2.001,12:18:32.376
366,19.5,60.282,26.2,0.555,3.0,0.264,26.6,2.832,25.8,103.2,60.282,21.1,2.19,12:18:33.519
367,19.8,58.806,24.8,0.543,3.0,0.248,28.7,3.134,25.8,103.2,58.806,21.1,3.738,12:18:34.640
368,19.8,59.952,24.8,0.536,3.0,0.314,28.7,3.663,25.8,103.2,59.952,21.1,2.643,12:18:35.779
369,19.3,59.905,24.8,0.564,3.0,0.255,26.6,2.643,27.3,103.2,59.905,21.1,2.719,12:18:36.901
370,19.3,60.031,24.8,0.587,3.0,0.264,26.6,2.983,27.3,103.2,60.031,21.1,2.115,12:18:38.039
371,19.8,60.084,24.8,0.577,3.0,0.216,26.6,2.983,27.3,103.2,60.084,21.1,2.001,12:18:39.165
372,19.3,60.152,24.8,0.607,3.0,0.254,26.6,2.568,25.9,103.2,60.152,21.1,2.417,12:18:40.286
373,19.8,59.422,24.8,0.571,3.0,0.259,26.6,2.568,25.9,103.2,59.422,21.3,3.096,12:18:41.423
374,19.8,59.921,26.3,0.658,3.0,0.242,26.6,2.983,25.9,103.2,59.921,21.1,2.719,12:18:42.547
375,20.0,59.917,26.2,0.597,3.0,0.255,28.7,2.945,25.9,103.2,59.917,21.3,2.908,12:18:43.677
376,20.0,60.735,24.8,0.546,3.0,0.298,28.7,2.908,25.9,103.2,60.735,21.6,2.832,12:18:44.810
377,19.3,60.626,24.8,0.631,3.0,0.276,26.6,3.7,27.3,103.2,60.626,21.1,2.341,12:18:45.932
378,18.8,59.883,24.8,0.635,3.0,0.269,26.6,4.305,27.3,103.2,59.883,21.3,3.21,12:18:47.055
379,19.3,59.871,24.8,0.531,3.0,0.248,26.6,2.908,27.3,103.2,59.871,21.3,2.643,12:18:48.193
380,19.3,59.959,24.8,0.588,3.0,0.256,26.6,2.719,25.9,103.2,59.959,21.1,2.719,12:18:49.318
381,19.8,60.146,26.3,0.596,3.0,0.286,26.6,2.379,25.9,103.2,60.146,21.1,3.965,12:18:50.444
382,19.3,59.906,26.3,0.588,3.0,0.294,28.7,2.756,25.9,103.2,59.906,21.3,2.53,12:18:51.579
383,19.8,59.652,24.8,0.635,3.0,0.255,28.7,2.87,25.9,103.2,59.652,21.6,3.21,12:18:52.697
384,19.5,60.387,24.8,0.576,3.0,0.232,28.7,2.908,25.9,103.2,60.387,21.6,2.719,12:18:53.834
385,20.0,59.495,24.8,0.555,3.0,0.266,26.6,2.983,27.3,103.2,59.495,22.0,3.247,12:18:54.961
386,19.3,59.529,24.8,0.669,3.0,0.264,26.6,2.492,25.9,103.2,59.529,21.8,3.361,12:18:56.083
387,20.0,59.868,26.3,0.615,3.0,0.278,26.6,2.908,25.9,103.2,59.868,21.8,2.115,12:18:57.204
388,19.5,59.905,26.3,0.641,3.0,0.284,28.7,2.983,25.9,103.2,59.905,21.3,2.87,12:18:58.324
389,20.2,60.048,24.8,0.558,3.0,0.259,26.6,2.228,25.9,103.2,60.048,21.6,3.21,12:18:59.445
390,19.1,60.659,24.8,0.584,3.0,0.247,26.6,2.794,27.4,103.2,60.659,21.3,2.53,12:19:00.567
391,19.5,59.616,24.8,0.615,3.0,0.309,26.6,2.756,25.9,103.2,59.616,21.1,2.794,12:19:01.689
392,20.0,59.791,24.8,0.576,3.0,0.275,26.6,2.719,25.9,103.2,59.791,21.6,3.172,12:19:02.824
393,20.0,59.485,26.3,0.596,3.0,0.375,28.7,2.681,25.9,103.2,59.485,21.8,4.078,12:19:03.947
394,19.8,59.983,24.8,0.636,3.0,0.251,28.8,4.078,25.9,103.2,59.983,21.3,2.568,12:19:05.074
395,20.2,59.767,24.8,0.524,3.0,0.305,28.7,2.303,25.9,103.2,59.767,21.8,2.492,12:19:06.218
396,20.4,60.36,24.8,0.641,3.0,0.278,26.6,2.152,27.4,103.2,60.36,21.1,2.832,12:19:07.341
397,20.0,59.975,24.8,0.605,3.0,0.259,26.6,2.266,27.4,103.2,59.975,21.1,2.87,12:19:08.465
398,20.7,59.917,24.8,0.538,3.0,0.291,26.6,2.643,25.9,103.2,59.917,21.1,2.756,12:19:09.583
399,19.5,59.623,26.3,0.624,3.0,0.281,26.6,2.794,25.9,103.2,59.623,21.1,2.983,12:19:10.708
400,19.5,59.715,24.8,0.616,3.0,0.313,28.7,2.643,25.9,103.2,59.715,21.1,2.945,12:19:11.821
401,19.3,60.039,24.8,0.554,3.0,0.275,28.7,2.605,25.9,103.2,60.039,21.1,2.643,12:19:12.957
402,19.8,60.111,26.3,0.626,3.0,0.26,28.7,2.643,25.9,103.2,60.111,21.6,1.926,12:19:14.116
403,19.3,60.102,24.8,0.529,3.0,0.27,28.7,2.87,25.9,103.2,60.102,21.1,3.474,12:19:15.251
404,19.5,59.731,24.8,0.619,3.0,0.255,26.6,2.228,27.4,103.2,59.731,21.3,2.605,12:19:16.371
405,19.3,60.214,24.8,0.555,3.0,0.281,26.6,2.492,27.4,103.2,60.214,21.6,2.379,12:19:17.504
406,19.8,60.123,24.8,0.569,3.0,0.261,26.6,2.643,25.9,103.2,60.123,21.3,2.001,12:19:18.626
407,20.0,59.821,26.3,0.616,3.0,0.236,26.6,2.53,25.9,103.2,59.527,21.6,2.454,12:19:19.744
408,19.8,60.037,24.8,0.576,3.0,0.223,28.7,2.568,25.9,103.2,60.037,21.3,3.172,12:19:20.861
409,19.5,59.876,24.8,0.63,3.0,0.319,26.6,2.379,27.4,103.2,59.876,21.6,2.719,12:19:21.982
410,20.4,60.028,24.8,0.648,3.0,0.327,26.6,2.379,25.9,103.2,60.028,21.3,2.001,12:19:23.100
411,19.3,59.879,26.3,0.607,3.0,0.275,26.6,2.568,25.9,103.2,59.879,21.3,2.379,12:19:24.221
412,19.5,60.163,26.3,0.531,3.0,0.232,28.7,2.077,25.9,103.2,60.163,21.6,2.832,12:19:25.347
413,20.0,60.23,26.2,0.621,3.0,0.259,28.7,2.454,25.9,103.2,60.23,21.6,2.266,12:19:26.484
414,20.2,59.945,24.8,0.548,3.0,0.316,26.6,2.228,27.4,103.2,59.945,21.6,2.756,12:19:27.602
415,19.8,59.843,24.8,0.602,3.0,0.313,26.6,2.568,25.9,103.2,59.843,22.0,2.039,12:19:28.720
416,19.8,60.08,26.3,0.559,3.0,0.365,26.6,2.492,25.9,103.2,60.08,21.6,2.756,12:19:29.841
417,19.8,59.821,26.3,0.54,3.0,0.255,26.6,3.7,25.9,103.2,59.821,21.3,2.719,12:19:30.979
418,19.8,60.947,26.3,0.625,3.0,0.26,26.6,3.096,25.9,103.2,60.947,21.3,1.926,12:19:32.116
419,20.2,59.665,24.8,0.551,3.0,0.294,28.6,2.643,25.9,103.2,59.665,21.1,1.964,12:19:33.240
420,19.8,59.994,24.8,0.559,3.0,0.299,26.5,2.152,27.3,103.2,59.994,21.8,2.643,12:19:34.362
421,19.8,59.898,24.8,0.612,3.0,0.269,26.5,2.266,27.3,103.2,59.898,22.0,2.643,12:19:35.485
422,19.5,60.106,24.8,0.525,3.0,0.255,26.5,2.756,25.9,103.2,60.106,21.6,2.794,12:19:36.620
423,19.3,59.681,24.8,0.668,3.0,0.237,26.5,2.87,25.9,103.2,59.681,21.6,2.53,12:19:37.744
424,19.8,60.175,26.2,0.579,3.0,0.248,26.5,2.756,25.9,103.2,60.175,21.3,2.53,12:19:38.870
425,19.8,59.932,24.8,0.619,3.0,0.283,28.6,2.794,25.8,103.2,59.932,21.3,2.417,12:19:39.990
426,19.5,60.832,24.8,0.63,3.0,0.256,28.6,2.605,25.9,103.2,60.832,21.3,1.473,12:19:41.128
427,19.3,60.044,24.8,0.581,3.0,0.232,28.6,3.172,25.8,103.2,60.044,21.3,2.341,12:19:42.264
428,20.0,59.93,24.8,0.613,3.0,0.26,28.6,2.605,25.8,103.2,59.93,21.6,2.341,12:19:43.407
429,19.5,60.344,24.8,0.541,3.0,0.352,28.6,2.605,27.3,103.2,60.344,21.6,2.568,12:19:44.540
430,19.8,59.896,24.8,0.558,3.0,0.236,28.6,3.059,27.3,103.2,59.896,21.6,2.681,12:19:45.676
431,20.0,59.641,24.8,0.607,3.0,0.309,28.6,2.643,27.3,103.2,59.641,21.1,3.776,12:19:46.817
432,19.3,59.734,24.8,0.521,3.0,0.291,28.6,3.474,27.3,103.2,59.734,22.3,2.983,12:19:47.956
433,19.8,59.84,24.8,0.548,3.0,0.256,26.5,3.134,25.8,103.2,59.84,21.1,2.605,12:19:49.077
434,19.5,60.105,26.2,0.593,3.0,0.248,26.5,2.756,25.8,103.2,60.105,21.6,2.681,12:19:50.199
435,19.8,58.922,26.2,0.549,3.0,0.238,26.5,2.379,25.8,103.2,58.922,21.6,4.003,12:19:51.324
436,19.8,60.276,26.2,0.574,3.0,0.27,26.4,2.794,25.8,103.2,60.276,21.6,3.021,12:19:52.460
437,20.2,59.988,24.8,0.605,3.0,0.298,28.5,2.832,25.8,103.2,59.988,21.6,2.794,12:19:53.581
438,19.8,60.832,24.8,0.568,3.0,0.261,28.5,3.436,27.3,103.2,60.832,21.6,2.379,12:19:54.706
439,19.5,59.457,24.8,0.625,3.0,0.337,28.5,2.19,27.3,103.2,59.457,21.8,3.549,12:19:55.844
440,19.5,60.133,24.8,0.571,3.0,0.323,26.4,2.945,27.3,103.2,60.133,21.1,2.605,12:19:56.980
441,20.0,59.844,24.8,0.676,3.0,0.309,26.4,3.436,27.3,103.2,59.844,21.6,1.964,12:19:58.120
442,19.8,59.977,24.8,0.564,3.0,0.247,26.4,2.077,27.3,103.2,59.977,21.8,2.379,12:19:59.262
443,20.2,59.816,24.8,0.605,3.0,0.254,26.4,2.152,25.8,103.2,59.816,21.6,1.926,12:20:00.382
444,19.3,60.508,26.2,0.645,3.0,0.288,26.4,2.492,25.8,103.2,60.508,21.6,2.379,12:20:01.504
