Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_old,mixer_torque_M2,mixer_torque_M1_old,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
294,8.4,6.1,6.7402,3.851542857,6.0133,3.436171429,60.3206,60.3382,26:25.6
295,8.6,6.6,6.2776,3.5872,6.4098,3.662742857,59.5683,59.8326,26:26.4
296,8.4,6.1,4.097,2.341142857,5.3525,3.058571429,59.9135,59.9792,26:27.1
297,8.2,6.3,5.6168,3.2096,4.956,2.832,60.1518,59.8906,26:27.9
298,8.4,6.6,6.8062,3.889257143,6.3437,3.624971429,60.0358,59.9198,26:28.7
299,8.6,6.3,6.2776,3.5872,7.2688,4.1536,60.7046,59.8677,26:29.4
300,8.6,6.3,6.8062,3.889257143,7.1366,4.078057143,60.5054,59.899,26:30.2
301,8.2,6.6,7.1366,4.078057143,5.749,3.285142857,60.0863,59.6115,26:31.0
302,8.6,7,5.6168,3.2096,7.0706,4.040342857,59.5792,59.8267,26:31.8
303,8.8,6.8,5.4846,3.134057143,6.8062,3.889257143,60.3852,60.4049,26:32.5
304,8.2,6.6,6.5419,3.738228571,5.3525,3.058571429,59.9057,60.0137,26:33.3
305,8.6,7,5.8811,3.360628571,6.8723,3.927028571,59.8748,60.1245,26:34.1
306,8.6,6.6,6.608,3.776,6.0794,3.473942857,60.1233,59.805,26:34.8
307,8.4,6.8,6.608,3.776,7.2027,4.115828571,59.9865,59.9378,26:35.6
308,8.2,6.3,5.5507,3.171828571,5.4846,3.134057143,59.8949,60.2663,26:36.4
309,8.2,6.6,4.8238,2.756457143,5.6168,3.2096,60.4828,60.1473,26:37.2
310,8.6,7,5.9472,3.3984,5.3525,3.058571429,60.2278,60.1387,26:37.9
311,8.4,6.1,6.8062,3.889257143,6.0794,3.473942857,59.852,59.8485,26:38.7
312,8.2,7.3,6.6741,3.813771429,5.8811,3.360628571,59.9437,59.7879,26:39.4
313,8.8,7,6.8723,3.927028571,6.1454,3.511657143,59.9352,60.1548,26:40.2
314,8.4,6.1,5.815,3.322857143,6.1454,3.511657143,59.9693,59.8208,26:41.0
315,8.6,6.6,9.3834,5.361942857,6.2115,3.549428571,80.4982,80.4163,26:41.7
316,8.4,6.6,6.6741,3.813771429,6.3437,3.624971429,80.2594,80.305,26:42.5
317,8.6,7,5.9472,3.3984,6.8723,3.927028571,80.366,80.4464,26:43.3
318,8.4,6.6,5.6829,3.247371429,7.5331,4.304628571,80.2679,80.0483,26:44.1
319,8.2,6.6,5.5507,3.171828571,8.3261,4.757771429,80.3928,80.3972,26:44.8
320,8.6,6.1,6.1454,3.511657143,7.3349,4.191371429,80.2518,80.8682,26:45.6
321,8.4,6.6,5.749,3.285142857,7.5331,4.304628571,80.1461,80.659,26:46.4
322,8.8,6.1,5.5507,3.171828571,5.6829,3.247371429,79.9953,80.534,26:47.1
323,8.8,6.3,10.5728,6.0416,6.4098,3.662742857,79.6044,80.1189,26:47.9
324,8.4,6.6,8.9208,5.0976,6.9384,3.9648,80.2492,80.0708,26:48.7
325,8.8,6.3,6.5419,3.738228571,7.3349,4.191371429,79.6914,80.3895,26:49.5
326,9.1,6.1,7.0706,4.040342857,6.4098,3.662742857,80.3911,80.077,26:50.2
327,9.1,7,8.0618,4.606742857,7.2688,4.1536,80.4175,80.2742,26:51.0
328,8.6,7,7.2688,4.1536,7.7314,4.417942857,80.4667,80.9454,26:51.8
329,8.4,7.5,7.2027,4.115828571,6.8062,3.889257143,80.7759,80.441,26:52.5
330,8.6,7,8.1939,4.682228571,5.749,3.285142857,80.041,80.4442,26:53.3
331,8.8,6.3,7.2027,4.115828571,6.9384,3.9648,80.2424,80.1986,26:54.1
332,9.1,7,7.3349,4.191371429,6.2776,3.5872,80.3058,80.2288,26:54.9
333,8.6,6.3,6.5419,3.738228571,8.26,4.72,80.1604,80.0572,26:55.7
334,9.1,6.1,7.2027,4.115828571,6.4758,3.700457143,80.3557,80.3177,26:56.4
335,8.4,6.6,6.608,3.776,7.2688,4.1536,80.3606,80.4031,26:57.2
336,8.6,7,7.2027,4.115828571,6.5419,3.738228571,80.9751,80.5564,26:58.0
337,8.4,5.7,6.8062,3.889257143,7.7314,4.417942857,80.0444,80.7964,26:58.7
338,8.4,6.6,7.0706,4.040342857,6.9384,3.9648,80.2802,80.4423,26:59.5
339,8.6,7,8.1278,4.644457143,6.1454,3.511657143,80.0972,80.3384,27:00.3
340,8.6,6.6,6.2776,3.5872,7.3349,4.191371429,80.1077,80.3927,27:01.0
341,8.8,7,7.2027,4.115828571,5.5507,3.171828571,100.5302,99.4558,27:01.8
342,8.8,7,9.119,5.210857143,7.0706,4.040342857,100.2347,99.5437,27:02.6
343,8.8,7,8.5904,4.9088,8.3261,4.757771429,100.0215,99.2409,27:03.3
344,8.8,7,7.401,4.229142857,7.9296,4.5312,99.4248,99.668,27:04.1
345,8.8,6.3,7.0706,4.040342857,7.7314,4.417942857,99.735,98.6577,27:04.9
346,9.1,6.3,7.7974,4.455657143,7.3349,4.191371429,99.6194,99.2149,27:05.6
347,9.1,6.6,7.5331,4.304628571,8.4582,4.833257143,99.2284,99.4971,27:06.4
348,8.6,7,6.8723,3.927028571,6.8062,3.889257143,99.2993,99.8352,27:07.2
349,9.1,6.6,8.0618,4.606742857,6.4758,3.700457143,99.231,99.9656,27:08.0
350,8.6,7,7.2027,4.115828571,7.7974,4.455657143,99.6708,99.9189,27:08.7
351,9.1,6.8,8.3261,4.757771429,6.608,3.776,99.6942,99.7648,27:09.5
352,8.6,7.3,6.2115,3.549428571,6.8723,3.927028571,100.0154,99.9726,27:10.3
353,8.8,6.8,8.26,4.72,7.5992,4.3424,99.8667,99.1454,27:11.0
354,8.8,6.8,7.2688,4.1536,8.9869,5.135371429,99.6805,99.2256,27:11.8
355,8.8,6.1,7.3349,4.191371429,6.1454,3.511657143,99.4518,99.5508,27:12.6
356,8.8,6.6,8.9869,5.135371429,6.2115,3.549428571,99.3217,99.8045,27:13.4
357,9.1,7,7.401,4.229142857,7.5992,4.3424,99.6011,100.1411,27:14.1
358,9.1,6.6,8.3261,4.757771429,9.053,5.173142857,99.524,98.7017,27:14.9
359,8.8,7.5,7.1366,4.078057143,8.9208,5.0976,99.8411,99.6799,27:15.7
360,9.1,6.6,7.401,4.229142857,7.6653,4.380171429,100.2177,99.1042,27:16.5
361,8.8,6.6,7.9296,4.5312,7.467,4.266857143,99.3845,99.8836,27:17.3
362,8.6,7.5,7.0706,4.040342857,6.2776,3.5872,98.9373,99.431,27:18.0
363,8.6,6.6,8.3261,4.757771429,7.0706,4.040342857,99.4472,99.8986,27:18.8
364,9.1,7,8.6565,4.946571429,6.2115,3.549428571,99.7377,99.4781,27:19.6
365,9.1,6.6,7.7314,4.417942857,7.2688,4.1536,99.5343,99.7437,27:20.4
366,8.6,7,6.3437,3.624971429,7.2688,4.1536,99.6006,99.7503,27:21.2
367,8.6,7.7,8.9869,5.135371429,7.9296,4.5312,120.289,120.3178,27:21.9
368,9.1,7.5,8.1939,4.682228571,9.1851,5.248628571,119.8542,120.1247,27:22.7
369,8.6,7.3,8.1939,4.682228571,7.7314,4.417942857,119.8533,119.7843,27:23.5
370,9.3,7.5,10.5067,6.003828571,7.6653,4.380171429,119.3916,119.7306,27:24.2
371,9.3,7.3,8.26,4.72,7.5992,4.3424,118.9369,119.9359,27:25.0
372,9.3,6.6,8.6565,4.946571429,7.5992,4.3424,120.7566,120.0056,27:25.8
373,9.1,6.8,6.8723,3.927028571,6.608,3.776,120.4341,119.6186,27:26.6
374,8.6,6.3,8.5243,4.871028571,7.0706,4.040342857,119.8271,119.5722,27:27.4
375,9.5,7.3,6.3437,3.624971429,7.0045,4.002571429,120.1537,119.4815,27:28.2
376,9.1,7.3,9.3834,5.361942857,9.4494,5.399657143,120.0635,120.3388,27:28.9
377,9.3,6.6,7.5992,4.3424,8.7886,5.022057143,120.1639,120.2531,27:29.7
378,8.8,7.3,7.5992,4.3424,8.3261,4.757771429,119.9226,119.2287,27:30.5
379,9.1,6.8,7.5992,4.3424,7.467,4.266857143,119.6579,120.2884,27:31.2
380,9.1,7,7.7974,4.455657143,7.5992,4.3424,119.9634,119.8243,27:32.0
381,9.1,6.6,9.119,5.210857143,6.608,3.776,119.4786,120.5494,27:32.8
382,9.1,7,7.467,4.266857143,9.3173,5.324171429,119.5188,120.0532,27:33.5
383,9.5,6.6,8.5243,4.871028571,7.9296,4.5312,120.6005,119.2186,27:34.3
384,9.1,7,6.8062,3.889257143,5.749,3.285142857,120.5294,119.7286,27:35.1
385,9.5,6.8,8.5904,4.9088,6.608,3.776,119.4861,120.2339,27:35.9
386,8.8,7.5,6.3437,3.624971429,6.6741,3.813771429,120.3791,119.9027,27:36.6
387,9.5,7.7,9.912,5.664,8.1278,4.644457143,120.4707,119.9922,27:37.4
388,8.8,7,7.9296,4.5312,7.2688,4.1536,120.0515,120.0446,27:38.2
389,8.8,7.7,7.9957,4.568971429,7.3349,4.191371429,119.746,119.9191,27:39.0
390,9.1,6.6,7.5331,4.304628571,7.0045,4.002571429,119.8429,120.0788,27:39.8
391,8.8,7.5,7.7314,4.417942857,8.26,4.72,120.3393,120.1723,27:40.5
392,8.8,7.3,6.2115,3.549428571,6.2115,3.549428571,120.2275,119.7438,27:41.3
393,8.8,7.5,7.2027,4.115828571,6.5419,3.738228571,99.4372,99.5157,27:42.1
394,9.5,6.6,6.0133,3.436171429,6.6741,3.813771429,99.5522,99.8004,27:42.9
395,9.1,6.1,6.608,3.776,7.0045,4.002571429,99.6878,99.6406,27:43.6
396,9.1,6.6,7.0706,4.040342857,6.3437,3.624971429,99.6298,99.6633,27:44.4
397,9.1,6.6,8.3261,4.757771429,7.3349,4.191371429,99.5408,99.5733,27:45.2
398,9.5,7,5.9472,3.3984,5.9472,3.3984,99.614,99.9052,27:46.0
399,9.5,6.1,6.0794,3.473942857,7.401,4.229142857,99.6665,99.5655,27:46.8
400,10,6.1,6.8062,3.889257143,7.3349,4.191371429,99.2714,100.0459,27:47.5
401,9.1,7.3,5.3525,3.058571429,6.0794,3.473942857,99.3942,99.668,27:48.3
402,9.3,7,6.608,3.776,6.2115,3.549428571,98.5431,99.7743,27:49.1
403,9.5,7.3,7.2027,4.115828571,6.1454,3.511657143,99.5276,99.7242,27:49.8
404,9.5,6.8,6.6741,3.813771429,7.467,4.266857143,99.5734,99.4644,27:50.6
405,9.1,6.6,5.4846,3.134057143,7.5992,4.3424,100.0153,99.5879,27:51.4
406,9.8,7,6.5419,3.738228571,6.6741,3.813771429,99.3722,99.3194,27:52.2
407,9.8,6.6,7.2688,4.1536,6.4758,3.700457143,99.5394,99.5254,27:52.9
408,9.3,7.3,6.2776,3.5872,5.4846,3.134057143,99.3697,99.4234,27:53.7
409,9.3,8.4,7.5331,4.304628571,6.1454,3.511657143,99.5299,99.6367,27:54.5
410,9.3,7,7.1366,4.078057143,6.0794,3.473942857,99.5843,99.4294,27:55.3
411,9.3,6.6,6.5419,3.738228571,6.8062,3.889257143,99.5595,99.391,27:56.0
412,9.5,7.9,6.5419,3.738228571,6.1454,3.511657143,99.6177,100.0274,27:56.8
413,9.1,7.5,6.8062,3.889257143,6.8062,3.889257143,99.2281,99.5732,27:57.6
414,9.1,7.5,8.0618,4.606742857,5.749,3.285142857,99.3532,99.5146,27:58.4
415,9.8,6.6,6.0794,3.473942857,5.6829,3.247371429,99.0732,99.8173,27:59.1
416,9.5,7,8.9208,5.0976,6.608,3.776,101.1761,99.2498,27:59.9
417,9.1,7,7.0045,4.002571429,6.0133,3.436171429,99.2477,99.6057,28:00.7
418,9.5,7,5.6168,3.2096,5.6168,3.2096,81.7277,98.8559,28:01.5
419,9.5,7.3,7.1366,4.078057143,5.0221,2.869771429,80.5869,80.5283,28:02.3
420,9.5,7,6.6741,3.813771429,4.956,2.832,80.1268,80.0753,28:03.1
421,9.3,7.5,5.749,3.285142857,4.6917,2.680971429,80.398,80.5104,28:03.8
422,9.3,7,5.6168,3.2096,4.4274,2.529942857,80.4074,80.3246,28:04.6
423,9.5,7.5,5.2864,3.0208,5.2864,3.0208,80.34,80.407,28:05.4
424,9.5,6.6,5.9472,3.3984,5.2203,2.983028571,79.8508,81.0244,28:06.2
425,9.3,7,6.2115,3.549428571,6.2115,3.549428571,79.5714,80.5856,28:07.0
426,9.5,7,5.4846,3.134057143,6.4758,3.700457143,79.4925,80.2044,28:07.7
427,9.5,7.3,8.0618,4.606742857,5.4186,3.096342857,80.4057,80.1982,28:08.5
428,9.5,6.8,5.3525,3.058571429,5.1542,2.945257143,80.6253,80.3567,28:09.3
429,9.5,7,5.9472,3.3984,6.1454,3.511657143,80.4617,79.7591,28:10.1
430,9.3,6.6,6.3437,3.624971429,5.5507,3.171828571,80.5006,80.6814,28:10.9
431,9.3,7,6.608,3.776,4.956,2.832,80.0393,80.8136,28:11.6
432,9.5,7.5,6.3437,3.624971429,5.6168,3.2096,80.4634,80.4826,28:12.4
433,9.3,7.3,6.7402,3.851542857,5.2203,2.983028571,80.2832,79.9283,28:13.2
434,9.5,7.3,6.2776,3.5872,7.0045,4.002571429,80.6818,80.2145,28:14.0
435,9.1,7,6.1454,3.511657143,6.608,3.776,80.6334,80.0958,28:14.8
436,9.5,7.7,7.3349,4.191371429,6.7402,3.851542857,80.3511,80.4051,28:15.5
437,9.5,7.7,5.4186,3.096342857,5.8811,3.360628571,80.4234,80.6602,28:16.3
438,9.5,7,5.815,3.322857143,4.956,2.832,79.8102,80.1876,28:17.1
439,9.5,7.5,5.749,3.285142857,5.0882,2.907542857,80.5182,80.153,28:17.9
440,10,7.3,6.3437,3.624971429,6.8723,3.927028571,80.1824,80.5018,28:18.7
441,9.5,7.9,6.5419,3.738228571,4.8238,2.756457143,80.5341,80.3486,28:19.4
442,9.5,7.3,7.0045,4.002571429,5.5507,3.171828571,80.4474,80.401,28:20.2
443,9.5,6.8,6.0133,3.436171429,4.8238,2.756457143,80.3486,80.8512,28:21.0
444,9.5,7.5,5.2203,2.983028571,4.8238,2.756457143,59.7949,59.8327,28:21.8
445,9.5,7.5,5.0221,2.869771429,4.8238,2.756457143,59.9018,59.9796,28:22.5
446,9.3,7.7,7.0706,4.040342857,5.1542,2.945257143,60.2674,60.0112,28:23.3
447,9.5,6.6,4.6256,2.6432,4.3613,2.492171429,59.9101,59.932,28:24.1
448,9.8,7.5,4.5595,2.605428571,3.5022,2.001257143,60.3899,59.6535,28:24.9
449,9.5,6.8,6.2115,3.549428571,5.1542,2.945257143,59.704,59.7545,28:25.6
450,9.5,7,5.8811,3.360628571,5.4846,3.134057143,59.8517,60.2222,28:26.4
451,9.3,7.7,8.1278,4.644457143,5.0882,2.907542857,60.0759,60.0422,28:27.2
452,9.8,7,4.0309,2.303371429,4.6917,2.680971429,59.9846,60.052,28:28.0
453,10,7.5,4.8899,2.794228571,4.2952,2.4544,59.7607,60.048,28:28.7
454,9.5,7,4.4934,2.567657143,5.0221,2.869771429,59.7869,59.8779,28:29.5
455,9.5,7.7,6.1454,3.511657143,5.2203,2.983028571,59.8085,59.8551,28:30.3
456,9.8,7.5,5.2203,2.983028571,4.4934,2.567657143,59.5866,59.8029,28:31.1
457,9.3,7,4.5595,2.605428571,3.8987,2.227828571,60.3142,59.3948,28:31.9
458,9.5,7.3,5.9472,3.3984,5.2203,2.983028571,59.8962,59.9141,28:32.6
459,9.5,7.9,5.9472,3.3984,5.815,3.322857143,59.7146,60.0857,28:33.4
460,9.5,8.2,5.2203,2.983028571,4.6917,2.680971429,59.7581,60.0051,28:34.2
461,9.5,7,3.9648,2.2656,3.8987,2.227828571,60.0558,60.6295,28:35.0
462,9.1,7.7,4.5595,2.605428571,4.6917,2.680971429,59.9043,59.7613,28:35.7
463,9.5,7.5,6.4758,3.700457143,7.0706,4.040342857,60.106,60.0624,28:36.5
464,9.5,7.7,6.3437,3.624971429,6.2776,3.5872,60.1774,60.1945,28:37.3
465,9.5,7.9,4.3613,2.492171429,4.163,2.378857143,60.8333,60.0742,28:38.1
466,9.5,7.5,6.1454,3.511657143,3.7666,2.152342857,60.6337,60.1113,28:38.9
467,9.5,7.9,8.3922,4.795542857,5.2203,2.983028571,59.8633,60.2684,28:39.7
468,9.5,7,5.4186,3.096342857,5.1542,2.945257143,59.6557,59.5688,28:40.4
469,9.5,7.7,6.8062,3.889257143,4.3613,2.492171429,59.7181,59.7555,28:41.2
470,9.5,7.7,4.3613,2.492171429,3.9648,2.2656,39.7295,39.5634,28:42.0
471,9.3,7.7,4.4274,2.529942857,4.6256,2.6432,39.3668,39.412,28:42.8
472,9.5,7.7,4.8238,2.756457143,4.956,2.832,39.5408,39.3953,28:43.6
473,9.3,7,3.9648,2.2656,4.2952,2.4544,40.1149,39.7095,28:44.4
474,9.5,7.5,5.1542,2.945257143,4.4274,2.529942857,39.1544,39.403,28:45.1
475,9.5,7.3,4.956,2.832,3.304,1.888,39.6194,39.9187,28:45.9
476,9.5,7,5.1542,2.945257143,2.7754,1.585942857,39.6864,39.7602,28:46.7
477,9.8,7.7,4.7578,2.718742857,3.5022,2.001257143,39.7243,39.6112,28:47.5
478,9.3,7,4.8899,2.794228571,3.5683,2.039028571,39.6691,40.2211,28:48.2
479,9.3,7.3,3.8987,2.227828571,3.7666,2.152342857,39.5132,39.5846,28:49.0
480,9.5,7.7,3.6344,2.0768,4.0309,2.303371429,39.7379,39.7679,28:49.8
481,9.5,7.5,4.6256,2.6432,4.0309,2.303371429,39.4892,39.6089,28:50.6
482,9.3,6.6,4.3613,2.492171429,3.8326,2.190057143,39.6305,39.7496,28:51.4
483,10,8.2,5.749,3.285142857,3.7005,2.114571429,39.5732,39.8385,28:52.1
484,9.3,7,3.5022,2.001257143,4.2952,2.4544,39.9258,39.5348,28:52.9
485,9.3,7.7,4.5595,2.605428571,3.8326,2.190057143,39.4542,39.7139,28:53.7
486,9.5,7,3.4362,1.963542857,4.2291,2.416628571,39.5219,39.667,28:54.5
487,9.3,7.5,6.2115,3.549428571,5.6829,3.247371429,39.5865,39.5262,28:55.3
488,9.3,7.7,4.3613,2.492171429,5.6829,3.247371429,39.6421,39.5631,28:56.0
489,9.1,7.9,4.6917,2.680971429,4.3613,2.492171429,39.2787,39.6663,28:56.8
490,9.5,6.6,3.8326,2.190057143,3.5683,2.039028571,39.8839,39.6129,28:57.6
491,9.1,7.3,5.1542,2.945257143,4.4274,2.529942857,39.6622,39.6203,28:58.4
492,9.5,7.5,3.6344,2.0768,4.3613,2.492171429,39.4383,39.2897,28:59.2
493,10,7,4.6917,2.680971429,3.1718,1.812457143,39.6642,39.5744,29:00.0
494,9.8,6.6,3.7005,2.114571429,3.5022,2.001257143,39.7271,40.2365,29:00.7
495,9.8,7.5,2.9075,1.661428571,3.3701,1.925771429,20.7887,38.1359,29:01.5
496,9.5,7.5,3.3701,1.925771429,2.7754,1.585942857,20.4912,20.4683,29:02.3
497,9.5,7.3,2.7093,1.548171429,2.7093,1.548171429,20.154,21.2509,29:03.1
498,9.5,7.7,4.0309,2.303371429,2.7093,1.548171429,20.5189,20.5333,29:03.9
499,9.3,7.5,3.304,1.888,3.2379,1.850228571,20.2802,20.7361,29:04.6
500,9.8,6.3,3.8326,2.190057143,2.6432,1.5104,20.5046,20.4144,29:05.4
501,9.5,7.3,3.4362,1.963542857,2.3128,1.3216,20.2668,20.7132,29:06.2
502,9.3,7.3,4.097,2.341142857,2.9075,1.661428571,20.3355,20.2963,29:07.0
503,9.3,7,3.8987,2.227828571,4.2952,2.4544,20.0719,20.3961,29:07.8
504,9.1,7,3.8326,2.190057143,5.2203,2.983028571,20.1298,20.3349,29:08.5
505,9.5,7.3,4.5595,2.605428571,2.7754,1.585942857,20.3674,20.5497,29:09.3
506,9.8,7,3.7666,2.152342857,3.7666,2.152342857,20.2992,20.2518,29:10.1
507,9.5,8.2,3.1718,1.812457143,3.1718,1.812457143,20.4959,20.4952,29:10.9
508,9.5,7,3.4362,1.963542857,2.9736,1.6992,20.8543,20.0109,29:11.6
509,9.3,8.2,4.956,2.832,4.3613,2.492171429,20.1343,20.2933,29:12.4
510,9.5,7.9,4.2952,2.4544,4.4934,2.567657143,20.3651,20.4139,29:13.2
511,9.3,7.9,3.7666,2.152342857,2.9075,1.661428571,20.3169,20.2346,29:14.0
512,9.5,7.3,3.5683,2.039028571,2.8414,1.623657143,20.6932,20.026,29:14.7
513,9.3,7.9,3.2379,1.850228571,3.5683,2.039028571,20.2549,20.2564,29:15.5
514,10,7,5.8811,3.360628571,3.1718,1.812457143,20.3531,20.4226,29:16.3
515,9.5,7,4.0309,2.303371429,3.7666,2.152342857,20.1578,20.0857,29:17.1
516,9.3,7.9,3.5022,2.001257143,4.097,2.341142857,20.1601,20.4834,29:17.9
517,9.3,7.5,3.5022,2.001257143,4.2952,2.4544,20.0966,20.3067,29:18.6
518,9.5,6.6,3.8987,2.227828571,3.5022,2.001257143,21.2277,20.7931,29:19.4
519,9.5,7.3,3.5022,2.001257143,3.304,1.888,20.2089,20.2455,29:20.2
520,9.5,7.7,5.6829,3.247371429,3.5022,2.001257143,20.6132,20.6068,29:21.0
