Log,ac_flowrate,cp_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,Time
222,172.1,0.936,5.0,26.0,25.5,0.251,24.3,21.3,19.8,120.309,6.495,4.342,120.309,11:40:31.864
223,172.1,1.04,5.0,24.0,24.0,0.266,24.3,20.9,18.8,120.149,3.814,4.003,120.04,11:40:32.987
224,172.1,0.887,5.0,24.0,24.0,0.278,25.7,21.6,18.8,119.938,4.305,2.643,119.938,11:40:34.110
225,172.1,0.949,5.0,24.0,24.0,0.28,25.7,20.9,18.8,120.317,3.549,3.738,120.317,11:40:35.237
226,172.1,0.996,5.0,24.0,24.0,0.294,24.3,21.3,19.8,120.118,5.551,3.549,120.118,11:40:36.364
227,172.1,0.896,5.0,26.1,25.5,0.275,24.3,21.3,19.5,119.747,4.154,4.531,119.747,11:40:37.478
228,172.1,1.012,5.0,24.0,25.5,0.269,24.3,21.1,18.8,120.025,4.493,3.361,120.025,11:40:38.617
229,172.1,0.922,5.0,24.0,24.0,0.289,24.3,21.1,18.6,119.653,3.852,3.587,119.653,11:40:39.741
230,172.1,0.9,5.0,24.0,24.0,0.293,25.7,21.3,19.3,119.979,4.456,3.776,119.979,11:40:40.863
231,172.1,0.949,5.0,24.0,24.1,0.293,25.7,20.7,18.8,119.999,4.154,3.663,119.999,11:40:41.988
232,172.1,0.864,5.0,26.1,24.1,0.291,24.3,21.1,18.8,119.26,4.305,3.7,119.26,11:40:43.108
233,172.1,0.958,5.0,26.1,25.5,0.305,24.3,21.1,18.8,119.758,3.361,3.852,119.758,11:40:44.227
234,172.1,0.931,5.0,24.0,24.1,0.286,24.3,21.6,19.5,120.087,4.38,3.625,120.087,11:40:45.363
235,172.1,0.916,5.0,24.0,24.1,0.269,25.7,21.3,19.3,120.661,5.928,4.38,120.661,11:40:46.486
236,172.1,0.997,5.0,24.0,24.1,0.316,24.3,21.1,19.3,119.91,4.04,2.908,119.91,11:40:47.605
237,172.1,0.792,5.0,24.0,24.1,0.251,24.3,21.3,19.3,120.4,3.625,3.474,120.4,11:40:48.729
238,172.1,0.891,5.0,26.1,25.6,0.271,24.3,21.3,19.1,119.894,4.682,3.549,119.894,11:40:49.852
239,172.1,0.963,5.0,24.0,24.1,0.273,24.3,21.3,18.8,120.617,3.889,3.7,120.617,11:40:50.977
240,172.1,0.848,5.0,24.0,24.1,0.276,25.7,21.1,18.6,120.408,3.7,3.7,120.408,11:40:52.097
241,172.1,0.957,5.0,24.0,24.1,0.331,25.7,21.3,19.8,119.72,3.512,3.889,119.72,11:40:53.223
242,172.1,0.95,5.0,24.0,24.1,0.3,24.3,21.6,19.8,119.497,5.362,4.116,119.497,11:40:54.345
243,172.1,0.874,5.0,26.1,25.6,0.238,24.3,21.8,19.3,120.286,3.587,3.663,120.286,11:40:55.470
244,172.1,0.955,5.0,26.1,25.6,0.261,24.3,21.3,19.3,120.15,5.135,2.87,120.15,11:40:56.607
245,172.1,0.967,5.0,26.1,25.6,0.259,24.3,21.6,19.1,120.443,4.003,3.247,120.443,11:40:57.742
246,172.1,0.902,5.0,24.0,24.1,0.281,24.3,21.3,19.3,120.591,4.531,3.7,120.591,11:40:58.866
247,172.1,0.95,5.0,24.0,24.1,0.288,25.7,21.6,19.8,121.244,4.191,3.323,121.244,11:40:59.986
248,172.1,0.887,5.0,24.0,24.1,0.281,24.3,21.6,19.3,120.091,4.342,3.134,120.091,11:41:01.107
249,172.1,0.979,5.0,24.0,25.6,0.3,24.3,21.6,18.8,120.478,3.663,3.587,120.478,11:41:02.235
250,172.1,0.947,5.0,26.1,25.6,0.281,24.3,21.8,18.8,120.087,4.305,3.663,120.087,11:41:03.358
251,172.1,0.941,5.0,24.0,24.1,0.322,24.3,21.6,18.8,119.842,3.852,4.833,119.842,11:41:04.482
252,172.1,1.024,5.0,24.1,24.1,0.286,25.7,21.6,19.3,119.436,4.682,3.852,119.436,11:41:05.602
253,172.1,0.822,5.0,24.0,24.2,0.294,24.3,21.3,19.3,120.248,3.361,3.663,120.248,11:41:06.722
254,172.1,0.887,5.0,26.1,25.6,0.238,24.3,21.6,18.8,119.098,4.342,4.305,119.098,11:41:07.846
255,172.1,1.062,5.0,26.1,25.6,0.264,24.3,21.1,19.1,119.754,3.625,4.342,119.754,11:41:08.971
256,172.1,0.874,5.0,24.1,24.1,0.319,24.3,21.3,19.3,121.384,4.267,3.549,121.384,11:41:10.097
257,172.1,1.01,5.0,24.1,24.2,0.321,25.8,21.6,18.8,118.751,3.323,3.852,118.751,11:41:11.215
258,172.1,0.931,5.0,24.1,24.2,0.242,24.3,21.1,18.8,119.937,4.38,3.965,119.937,11:41:12.337
259,172.1,0.896,5.0,24.1,25.7,0.293,24.3,21.6,19.3,119.327,4.72,4.644,119.327,11:41:13.465
260,172.1,0.977,5.0,26.2,25.6,0.28,24.3,21.6,19.5,120.015,4.833,3.512,120.015,11:41:14.592
261,172.1,0.914,5.0,26.2,24.2,0.331,24.3,21.6,19.3,119.991,2.983,3.436,119.991,11:41:15.715
262,172.1,0.896,5.0,24.1,24.2,0.276,25.7,21.6,18.6,120.322,3.663,3.7,120.322,11:41:16.839
263,172.1,0.972,5.0,24.1,24.2,0.286,25.8,21.6,19.3,119.559,4.871,4.833,119.559,11:41:17.979
264,172.1,0.912,5.0,24.1,24.2,0.299,25.8,21.1,20.2,120.176,4.72,2.719,120.176,11:41:19.102
265,172.1,1.007,5.0,24.1,24.2,0.231,25.8,21.3,19.8,121.756,3.398,3.549,121.756,11:41:20.241
266,172.1,0.857,5.0,24.1,24.2,0.303,25.8,22.0,19.3,120.008,3.814,4.116,120.008,11:41:21.379
267,172.1,0.944,5.0,24.1,24.2,0.26,24.3,21.8,19.3,121.62,3.965,3.587,121.62,11:41:22.501
268,172.1,0.991,5.0,26.2,25.7,0.316,24.3,21.3,19.5,120.164,5.135,3.625,120.164,11:41:23.625
269,172.1,0.874,5.0,24.1,24.2,0.265,24.3,22.3,19.3,120.773,3.512,3.361,120.773,11:41:24.745
270,172.1,1.063,5.0,24.1,24.2,0.293,25.8,22.0,20.0,120.105,4.493,4.003,120.105,11:41:25.871
271,172.1,1.002,5.0,24.1,24.2,0.269,24.3,21.6,19.8,119.826,4.342,4.229,119.826,11:41:26.995
272,172.1,0.894,5.0,24.1,24.2,0.343,24.3,21.6,20.2,120.017,4.644,3.512,120.017,11:41:28.119
273,172.1,1.005,5.0,26.2,25.7,0.3,24.3,22.0,18.8,120.584,3.398,3.549,120.584,11:41:29.245
274,172.1,0.902,5.0,26.2,24.3,0.286,24.3,21.6,18.8,118.884,4.493,5.135,118.884,11:41:30.369
275,172.1,0.868,5.0,24.1,24.3,0.303,25.8,21.6,19.3,118.429,4.229,5.891,118.429,11:41:31.491
276,172.1,1.012,5.0,24.1,24.3,0.291,25.8,21.8,19.3,119.452,3.965,3.852,119.452,11:41:32.631
277,172.1,0.896,5.0,24.1,24.3,0.291,24.3,21.8,18.8,119.836,3.625,4.078,119.836,11:41:33.747
278,172.1,0.964,5.0,24.1,24.3,0.289,25.8,21.8,19.3,121.009,4.116,3.512,121.009,11:41:34.887
279,172.1,0.889,5.0,24.1,24.3,0.265,24.3,21.6,19.3,121.07,3.814,4.305,121.07,11:41:36.011
280,172.1,0.919,5.0,24.1,24.3,0.269,24.3,21.8,19.5,119.88,3.889,3.285,119.88,11:41:37.148
281,172.1,1.0,5.0,26.2,25.8,0.275,24.3,21.8,19.3,120.218,3.21,4.871,120.218,11:41:38.273
282,172.1,0.829,5.0,26.2,25.8,0.264,24.3,21.8,19.3,120.113,4.191,3.625,120.113,11:41:39.410
283,172.1,0.907,5.0,24.2,24.3,0.284,24.3,22.3,19.8,119.694,3.323,3.927,119.694,11:41:40.534
284,172.1,1.044,5.0,24.1,24.3,0.27,25.8,21.8,18.8,120.002,3.965,3.21,120.002,11:41:41.656
285,172.1,0.968,5.0,24.1,24.3,0.286,24.3,22.3,20.4,119.454,3.21,4.04,119.454,11:41:42.783
286,172.1,0.995,5.0,24.1,25.8,0.304,24.3,21.8,19.8,119.38,3.889,4.267,119.38,11:41:43.906
287,172.1,0.945,5.0,24.2,25.8,0.284,24.3,21.8,19.3,119.954,4.531,3.549,119.954,11:41:45.029
288,172.1,0.852,5.0,26.2,25.8,0.289,24.3,21.8,19.3,119.72,3.814,2.945,119.72,11:41:46.167
289,172.1,0.955,5.0,26.2,24.3,0.264,24.3,22.3,20.0,119.57,3.361,3.512,119.57,11:41:47.291
290,172.1,0.925,5.0,24.2,24.3,0.308,25.8,22.3,19.1,120.4,4.493,3.776,120.4,11:41:48.415
291,172.1,0.889,5.0,24.2,24.3,0.3,24.3,22.3,19.5,120.409,3.738,3.549,120.409,11:41:49.535
292,172.1,1.006,5.0,24.2,24.3,0.248,24.3,22.3,19.1,119.667,4.758,3.021,119.667,11:41:50.658
293,172.1,0.934,5.0,24.2,25.8,0.281,24.3,22.0,19.3,119.594,3.776,3.398,119.594,11:41:51.794
294,172.1,0.983,5.0,26.3,25.8,0.316,24.3,22.3,19.8,119.903,4.984,3.776,119.903,11:41:52.918
295,172.1,0.92,5.0,26.3,25.8,0.286,24.3,22.3,19.8,120.961,6.155,3.587,120.961,11:41:54.059
296,172.1,0.92,5.0,26.3,24.3,0.28,24.3,21.8,19.3,119.316,3.663,3.587,119.316,11:41:55.180
297,172.1,0.96,5.0,24.2,24.3,0.305,24.3,22.3,20.2,120.414,3.474,3.247,120.414,11:41:56.292
298,172.1,0.907,5.0,24.2,25.8,0.271,24.3,22.3,18.8,120.299,5.777,3.852,120.299,11:41:57.413
299,172.1,0.978,5.0,26.3,24.3,0.232,24.3,22.3,20.0,120.015,3.7,3.323,120.015,11:41:58.537
300,172.1,1.047,5.0,26.3,24.3,0.278,24.3,22.3,19.8,119.768,4.947,3.436,118.932,11:41:59.657
301,172.1,0.873,5.0,26.3,24.3,0.275,24.3,22.0,19.8,118.91,3.965,4.758,118.91,11:42:00.799
302,172.1,1.093,5.0,24.2,24.3,0.3,25.8,22.0,19.1,119.662,4.758,3.738,119.662,11:42:01.919
303,172.1,0.963,5.0,24.2,24.3,0.28,24.3,22.3,19.8,119.672,3.927,3.852,119.672,11:42:03.042
304,172.1,0.897,5.0,24.2,24.3,0.295,24.3,22.3,20.0,119.854,4.305,2.832,119.854,11:42:04.156
305,172.1,1.101,5.0,26.3,24.3,0.331,24.3,22.0,19.8,119.526,3.21,4.418,119.526,11:42:05.268
306,172.1,0.879,5.0,26.3,24.4,0.284,24.3,22.0,19.3,120.409,4.418,3.587,120.409,11:42:06.410
307,172.1,0.978,5.0,24.2,24.4,0.237,25.8,22.0,19.8,119.583,4.38,3.814,119.583,11:42:07.532
308,172.1,1.019,5.0,24.2,24.3,0.291,24.3,22.3,19.8,119.89,4.305,3.21,119.89,11:42:08.654
309,172.1,1.011,5.0,24.2,24.3,0.304,24.3,22.5,19.8,119.747,3.285,3.852,119.747,11:42:09.789
310,172.1,1.024,5.0,24.2,25.8,0.28,24.3,22.3,20.2,120.148,6.835,3.852,120.148,11:42:10.912
311,172.1,0.96,5.0,26.3,24.4,0.304,24.3,22.0,20.0,120.326,3.965,4.078,120.326,11:42:12.029
312,172.1,0.887,5.0,24.2,24.3,0.281,25.8,22.3,19.3,119.872,3.587,3.361,119.872,11:42:13.152
313,172.1,1.05,5.0,24.2,24.3,0.259,24.3,22.3,20.4,120.132,3.549,3.738,120.132,11:42:14.275
314,172.1,0.884,5.0,24.2,25.8,0.271,24.3,22.5,20.2,120.416,4.116,3.738,120.416,11:42:15.394
315,172.1,0.992,5.0,26.3,24.4,0.341,24.3,22.7,20.0,120.135,5.135,3.7,120.135,11:42:16.506
316,172.1,0.992,5.0,24.2,24.4,0.299,25.8,22.7,19.5,119.855,4.569,3.663,119.855,11:42:17.626
317,172.1,0.912,5.0,24.2,24.4,0.261,25.8,22.3,19.8,120.308,3.512,4.078,120.308,11:42:18.768
318,172.1,1.022,5.0,24.2,24.4,0.275,24.3,22.3,20.0,120.043,4.531,3.776,120.043,11:42:19.889
319,172.1,0.964,5.0,24.2,25.8,0.288,24.3,22.3,20.4,120.408,3.814,4.493,120.408,11:42:21.012
320,172.1,0.958,5.0,24.2,25.8,0.26,24.3,22.7,20.7,119.866,4.947,3.21,119.866,11:42:22.138
321,172.1,1.006,5.0,26.3,24.4,0.304,24.3,22.3,20.2,120.421,3.021,3.7,120.421,11:42:23.260
322,172.1,0.997,5.0,24.2,24.4,0.269,25.8,22.3,20.0,119.883,4.267,4.456,119.883,11:42:24.383
323,172.1,1.006,5.0,24.2,24.4,0.298,25.8,22.5,19.8,120.317,3.738,4.229,120.317,11:42:25.507
324,172.1,1.016,5.0,24.3,24.4,0.289,24.3,22.5,19.8,120.021,4.267,3.474,120.021,11:42:26.627
325,172.1,0.906,5.0,24.2,25.8,0.298,24.3,22.7,19.3,120.006,3.927,3.738,120.006,11:42:27.764
326,172.1,1.101,5.0,24.3,25.9,0.259,24.3,22.3,20.4,120.107,4.267,3.852,120.107,11:42:28.890
327,172.1,0.892,5.0,26.3,24.4,0.299,24.3,22.3,20.0,120.104,3.965,4.38,120.104,11:42:30.009
328,172.1,0.969,5.0,24.3,24.4,0.308,24.3,22.3,20.2,119.949,4.569,2.908,119.949,11:42:31.125
329,172.1,1.021,5.0,24.3,24.4,0.331,24.3,22.0,20.2,120.905,3.927,3.965,120.905,11:42:32.261
330,172.1,0.949,5.0,24.3,25.9,0.25,24.3,22.3,20.2,119.88,5.891,4.191,119.88,11:42:33.382
331,172.1,1.11,5.0,24.3,24.4,0.256,24.3,22.3,20.4,120.055,4.229,4.418,120.055,11:42:34.507
332,172.1,0.995,5.0,26.3,24.4,0.276,24.3,22.0,19.8,119.933,4.984,3.134,119.933,11:42:35.628
333,172.1,1.017,5.0,26.4,24.4,0.266,24.3,22.7,20.0,120.057,3.134,3.852,120.057,11:42:36.767
334,172.1,1.021,5.0,24.3,24.4,0.256,25.8,22.5,19.8,120.131,5.173,4.38,120.131,11:42:37.891
335,172.1,0.958,5.0,24.3,24.4,0.261,25.8,22.3,19.8,120.02,5.098,3.738,120.02,11:42:39.026
336,172.1,1.04,5.0,24.3,24.4,0.308,24.3,22.3,20.4,119.636,4.682,3.549,119.636,11:42:40.148
337,172.1,1.011,5.0,24.3,24.4,0.271,24.3,22.7,19.8,119.964,3.059,3.285,119.964,11:42:41.281
338,172.1,1.057,5.0,24.3,24.4,0.281,24.3,22.7,20.4,120.517,4.909,3.965,120.517,11:42:42.417
339,172.1,0.925,5.0,24.3,24.4,0.316,24.3,22.7,20.2,120.619,3.852,3.776,120.619,11:42:43.576
340,172.1,1.049,5.0,24.3,24.4,0.283,24.3,22.3,19.8,120.262,3.587,3.889,120.262,11:42:44.698
341,172.1,0.92,5.0,24.3,25.9,0.316,24.3,22.7,20.4,120.268,3.889,3.738,120.268,11:42:45.821
342,172.1,1.093,5.0,24.3,25.9,0.273,24.3,22.5,19.3,120.492,3.738,4.003,120.492,11:42:46.960
343,172.1,0.945,5.0,26.4,24.4,0.286,24.3,22.7,20.4,120.438,4.607,4.607,120.438,11:42:48.084
344,172.1,1.006,5.0,24.3,24.4,0.295,25.8,22.7,19.8,119.685,4.267,4.04,119.685,11:42:49.203
345,172.1,1.1,5.0,24.3,24.4,0.343,24.3,22.9,20.0,120.165,4.003,4.116,120.165,11:42:50.335
346,172.1,0.947,5.0,24.3,24.4,0.28,24.3,22.7,20.7,118.324,4.456,5.249,118.324,11:42:51.457
347,172.1,1.095,5.0,24.3,25.9,0.313,24.3,22.7,20.0,120.34,4.38,3.852,120.34,11:42:52.596
348,172.1,1.058,5.0,24.3,25.9,0.288,24.3,22.3,20.9,119.392,4.154,4.116,119.392,11:42:53.721
349,172.1,0.924,5.0,26.4,24.4,0.35,24.3,22.7,20.0,119.759,4.38,3.965,119.759,11:42:54.845
350,172.1,1.007,5.0,26.4,24.4,0.304,24.3,22.5,20.0,120.231,4.078,4.456,120.231,11:42:55.983
351,172.1,0.96,5.0,24.3,24.4,0.326,25.8,22.7,20.4,120.436,5.551,3.285,120.436,11:42:57.106
352,172.1,1.024,5.0,24.3,24.4,0.286,25.8,22.7,20.0,120.044,3.549,3.549,120.044,11:42:58.227
353,172.1,1.077,5.0,24.3,24.4,0.278,24.3,22.7,20.7,120.396,4.456,3.398,120.396,11:42:59.350
354,172.1,1.0,5.0,24.3,25.9,0.276,24.3,22.7,20.2,120.954,4.003,3.7,120.954,11:43:00.469
355,172.1,1.078,5.0,26.4,24.4,0.322,24.3,22.9,19.8,120.738,4.833,3.549,120.738,11:43:01.594
356,172.1,0.949,5.0,26.4,24.4,0.3,25.8,22.7,20.0,119.944,3.096,3.587,119.944,11:43:02.720
357,172.1,0.978,5.0,24.3,24.4,0.242,24.3,22.7,20.9,122.01,4.078,3.663,122.01,11:43:03.841
358,172.1,1.167,5.0,24.3,25.9,0.3,24.3,22.7,20.2,119.317,4.154,4.871,119.317,11:43:04.964
359,172.1,0.992,5.0,24.3,24.4,0.294,24.3,22.7,20.2,119.857,4.38,4.229,119.857,11:43:06.083
360,172.1,1.035,5.0,26.4,24.4,0.247,24.3,23.2,20.9,119.756,3.512,3.512,119.756,11:43:07.216
361,172.1,1.106,5.0,26.4,24.4,0.298,24.3,22.9,20.7,120.048,5.437,3.927,120.048,11:43:08.355
362,172.1,0.974,5.0,26.4,24.4,0.317,25.8,22.7,20.2,120.234,5.437,3.852,120.234,11:43:09.478
363,172.1,1.126,5.0,26.4,24.4,0.276,25.8,22.7,20.2,119.699,5.551,4.04,119.699,11:43:10.613
364,172.1,1.074,5.0,24.3,24.4,0.288,24.3,22.7,20.0,119.855,3.549,4.191,119.855,11:43:11.734
365,172.1,0.968,5.0,24.3,24.4,0.264,24.3,22.7,20.0,120.472,5.626,4.531,120.472,11:43:12.872
366,172.1,1.102,5.0,24.3,25.9,0.299,24.3,22.7,20.7,120.019,4.116,4.38,120.019,11:43:13.995
367,172.1,0.983,5.0,24.3,25.9,0.198,24.3,22.7,20.4,119.913,6.797,3.625,119.913,11:43:15.129
368,172.1,1.036,5.0,24.3,24.4,0.308,24.3,22.7,19.8,120.553,3.625,3.889,120.553,11:43:16.253
369,172.1,1.036,5.0,26.4,24.4,0.271,25.7,23.2,20.9,119.946,4.531,4.154,119.946,11:43:17.381
370,172.1,0.996,5.0,26.4,24.4,0.343,25.8,23.2,19.8,120.692,4.38,4.758,120.692,11:43:18.507
371,172.1,1.13,5.0,24.4,24.4,0.299,24.3,22.9,20.4,119.673,5.06,4.116,119.673,11:43:19.631
372,172.1,0.984,5.0,24.3,24.4,0.288,24.3,22.9,20.2,121.383,3.398,4.267,121.383,11:43:20.757
373,172.1,1.021,5.0,24.4,25.9,0.28,24.3,22.7,20.7,119.408,4.682,5.513,119.408,11:43:21.878
374,172.1,1.107,5.0,26.5,24.4,0.316,24.3,23.2,20.7,119.952,4.191,4.569,119.952,11:43:22.998
375,172.1,0.981,5.0,26.5,24.4,0.288,25.7,22.7,20.7,120.208,4.607,3.21,120.208,11:43:24.119
376,172.1,1.06,5.0,24.4,24.5,0.283,24.3,23.2,21.1,119.989,3.814,4.305,119.989,11:43:25.242
377,172.1,1.053,5.0,24.4,24.4,0.299,24.3,22.7,20.0,119.825,4.909,4.267,119.825,11:43:26.381
378,172.1,0.941,5.0,24.4,25.9,0.338,24.3,22.7,20.9,120.003,4.984,4.607,120.003,11:43:27.501
379,172.1,1.107,5.0,24.4,24.4,0.294,24.3,22.7,20.7,120.069,4.909,3.474,120.069,11:43:28.622
380,172.1,1.039,5.0,26.5,24.5,0.265,25.7,22.7,20.7,119.815,3.927,4.04,119.815,11:43:29.743
381,172.1,1.034,5.0,26.5,24.5,0.28,25.7,22.7,20.7,119.924,5.135,5.815,119.924,11:43:30.867
382,172.1,1.027,5.0,24.4,24.5,0.288,24.3,22.7,19.5,119.684,4.644,4.493,119.684,11:43:32.001
383,172.1,0.977,5.0,24.4,24.5,0.291,24.3,22.7,20.2,120.217,4.909,3.512,120.217,11:43:33.140
384,172.1,1.005,5.0,24.4,24.5,0.313,24.3,23.2,20.9,119.923,3.285,4.154,119.923,11:43:34.280
385,172.1,0.94,5.0,24.4,25.9,0.313,24.3,22.7,20.4,120.715,4.871,3.889,120.715,11:43:35.405
386,172.1,0.941,5.0,24.4,25.9,0.261,24.3,22.9,20.2,119.824,4.229,3.889,119.824,11:43:36.529
387,172.1,1.088,5.0,26.5,24.5,0.27,24.3,23.2,20.7,119.899,4.003,3.889,119.899,11:43:37.648
388,172.1,0.848,5.0,26.5,24.5,0.259,25.7,22.9,20.7,120.417,3.247,3.776,120.417,11:43:38.771
389,172.1,1.007,5.0,24.4,24.5,0.254,24.3,22.7,20.4,119.936,5.06,4.078,119.936,11:43:39.894
390,172.1,1.035,5.0,24.4,25.9,0.281,24.3,23.2,20.4,120.816,3.889,4.305,120.816,11:43:41.019
391,172.1,0.93,5.0,24.4,24.5,0.304,24.3,23.2,20.9,119.934,5.513,3.474,119.934,11:43:42.143
392,172.1,1.09,5.0,24.4,24.5,0.266,24.3,22.9,20.4,121.131,3.247,3.512,121.131,11:43:43.266
393,172.1,1.047,5.0,26.5,24.5,0.286,25.7,23.2,20.4,121.593,5.286,3.7,121.593,11:43:44.390
394,172.1,0.94,5.0,24.4,24.5,0.286,24.3,22.9,20.9,120.729,4.267,4.305,120.729,11:43:45.513
395,172.1,0.988,5.0,24.4,26.0,0.316,24.3,22.7,20.7,119.899,5.249,3.436,119.899,11:43:46.635
396,172.1,0.947,5.0,24.4,24.5,0.238,24.3,23.2,20.4,120.476,4.003,4.003,120.476,11:43:47.755
397,172.1,0.952,5.0,24.4,24.5,0.247,24.3,23.2,21.1,119.196,4.38,4.796,119.196,11:43:48.880
398,172.1,0.978,5.0,26.5,24.5,0.305,25.7,23.2,20.7,120.539,4.418,5.06,120.539,11:43:50.006
399,172.1,0.872,5.0,26.5,24.5,0.314,25.7,22.9,20.7,119.904,4.418,3.361,119.904,11:43:51.145
400,172.1,1.017,5.0,24.4,24.5,0.308,24.3,22.9,20.4,120.391,3.323,3.889,120.391,11:43:52.268
401,172.1,0.974,5.0,24.4,26.0,0.269,24.3,23.2,20.9,119.933,5.022,4.003,119.933,11:43:53.389
402,172.1,0.983,5.0,24.4,24.5,0.327,24.3,22.7,20.9,119.429,4.493,4.984,119.429,11:43:54.511
403,172.1,1.097,5.0,24.4,24.5,0.295,24.3,23.2,20.7,119.807,4.682,3.549,119.807,11:43:55.650
404,172.1,0.873,5.0,26.5,24.5,0.303,25.7,23.4,20.4,120.173,3.436,3.852,120.173,11:43:56.775
405,172.1,0.873,5.0,26.5,24.5,0.313,25.7,23.2,20.9,119.992,4.984,3.965,119.992,11:43:57.914
406,172.1,1.021,5.0,26.5,24.5,0.319,25.7,23.2,20.7,119.914,5.286,3.776,119.914,11:43:59.040
407,172.1,0.927,5.0,26.5,24.5,0.295,25.7,23.8,20.9,119.684,4.871,3.625,119.684,11:44:00.177
408,172.1,0.977,5.0,24.5,24.5,0.367,24.2,23.4,20.9,120.291,4.116,4.04,120.291,11:44:01.300
409,172.1,0.977,5.0,24.4,24.5,0.265,24.2,23.6,20.9,119.224,4.833,4.909,119.224,11:44:02.441
410,172.1,0.945,5.0,24.5,26.0,0.317,24.2,22.9,20.9,119.738,4.796,4.644,119.738,11:44:03.565
411,172.1,1.016,5.0,24.5,26.0,0.289,24.2,23.4,20.7,119.551,4.38,4.191,119.551,11:44:04.704
412,172.1,0.907,5.0,24.4,24.5,0.316,24.2,22.9,20.4,119.738,4.267,4.418,119.738,11:44:05.828
413,172.1,0.935,5.0,24.5,24.5,0.238,25.7,23.6,20.7,119.736,4.456,4.796,119.736,11:44:06.955
414,172.1,0.968,5.0,26.5,24.5,0.328,25.7,23.6,20.9,120.273,6.268,3.889,120.273,11:44:08.076
415,172.1,0.892,5.0,26.5,24.5,0.26,25.7,23.6,20.9,120.228,3.172,3.663,120.228,11:44:09.209
416,172.1,0.989,5.0,24.5,24.5,0.293,24.2,23.4,21.1,119.963,5.173,4.984,119.963,11:44:10.332
417,172.1,0.894,5.0,24.5,26.0,0.286,24.2,23.2,20.9,119.873,4.72,4.607,119.873,11:44:11.450
418,172.1,0.945,5.0,24.5,26.0,0.295,24.2,23.6,21.3,120.158,4.493,3.134,120.158,11:44:12.590
419,172.1,1.012,5.0,24.5,24.5,0.286,24.2,23.4,21.3,119.39,3.7,4.154,119.39,11:44:13.726
420,172.1,0.845,5.0,24.5,24.5,0.326,24.2,23.8,21.3,120.441,5.437,4.04,120.441,11:44:14.863
421,172.1,0.906,5.0,24.5,26.0,0.278,24.2,23.8,21.1,120.478,4.569,4.607,120.478,11:44:16.008
422,172.1,0.986,5.0,24.5,24.5,0.323,24.2,23.6,20.9,119.983,3.776,3.474,119.983,11:44:17.143
423,172.1,0.936,5.0,24.5,24.5,0.255,25.7,23.8,20.4,120.479,4.154,4.607,120.479,11:44:18.261
424,172.1,0.991,5.0,24.5,24.5,0.308,25.7,23.4,21.8,119.809,4.493,4.003,119.809,11:44:19.397
425,172.1,0.967,5.0,26.6,24.5,0.304,24.2,23.8,20.4,119.436,4.531,4.947,119.436,11:44:20.521
426,172.1,0.878,5.0,26.6,24.5,0.321,24.2,23.2,20.9,119.832,4.154,3.361,119.832,11:44:21.660
427,172.1,1.053,5.0,26.6,24.5,0.28,24.2,23.4,21.1,119.541,4.38,4.607,119.541,11:44:22.800
428,172.1,0.868,5.0,24.5,26.0,0.251,24.2,23.2,20.7,119.807,4.796,3.587,119.807,11:44:23.923
429,172.1,0.974,5.0,24.5,26.0,0.298,24.2,23.6,20.4,120.156,5.437,4.154,120.156,11:44:25.062
430,172.1,0.989,5.0,24.5,26.0,0.314,24.2,23.8,21.8,119.59,4.154,3.965,119.59,11:44:26.187
431,172.1,0.869,5.0,24.5,24.5,0.294,24.2,23.6,21.1,119.772,4.267,4.456,119.772,11:44:27.307
432,172.1,0.82,5.0,24.5,24.5,0.273,25.7,23.6,21.1,119.916,4.682,4.342,119.916,11:44:28.445
433,172.1,0.768,5.0,24.5,24.5,0.319,25.7,23.8,20.9,121.257,4.871,3.965,121.257,11:44:29.583
434,172.1,0.929,5.0,26.6,24.5,0.242,25.7,23.6,20.4,119.534,4.342,4.267,119.534,11:44:30.707
435,172.1,0.729,5.0,26.6,24.5,0.281,25.7,23.8,21.3,119.833,5.135,3.7,119.49,11:44:31.847
436,172.1,0.936,5.0,26.6,24.5,0.289,24.2,23.6,21.1,119.653,4.569,4.342,119.653,11:44:32.970
437,172.1,0.929,5.0,24.5,26.0,0.289,24.2,23.4,21.6,120.102,4.229,3.663,120.102,11:44:34.095
438,172.1,0.63,5.0,24.5,26.0,0.25,24.2,23.4,20.7,120.128,4.342,4.04,120.128,11:44:35.217
439,172.1,0.831,5.0,24.5,26.0,0.305,24.2,23.8,20.9,120.028,4.456,4.191,120.028,11:44:36.358
440,172.1,0.927,5.0,24.5,24.5,0.264,24.2,23.6,21.6,120.016,4.229,4.38,120.016,11:44:37.484
441,172.1,0.743,5.0,24.5,24.5,0.288,24.2,23.4,21.1,119.638,4.456,4.833,119.638,11:44:38.621
442,172.1,0.626,5.0,24.5,24.5,0.251,25.7,23.4,20.9,119.588,3.323,4.493,119.588,11:44:39.747
443,172.1,0.745,5.0,24.5,24.5,0.278,25.7,23.4,21.6,120.01,4.154,3.852,120.01,11:44:40.902
444,172.1,0.826,5.0,24.5,24.5,0.284,24.2,23.2,21.3,119.042,5.702,5.135,119.042,11:44:42.054
