Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
118,25.4,24.8,0.38,0.592,0.0,18.8,24.9,9.531,112.2,3.0,1.926,1.284,21.1,9.531,10:48:52.501
119,27.5,24.8,0.375,0.612,0.0,19.8,26.3,9.471,112.2,3.0,2.379,1.888,20.7,9.471,10:48:53.607
120,25.4,26.3,0.228,0.51,0.0,19.8,24.9,9.397,112.2,3.0,2.152,1.435,20.4,9.397,10:48:54.708
121,25.4,24.8,0.27,0.546,0.0,19.3,24.9,9.523,112.2,3.0,1.888,1.964,20.9,9.523,10:48:55.827
122,25.4,24.8,0.345,0.574,0.0,19.1,24.9,9.561,112.2,3.0,1.85,1.737,20.7,9.561,10:48:56.933
123,25.4,26.2,0.321,0.53,0.0,19.8,24.9,9.672,112.2,3.0,1.51,1.812,21.1,9.672,10:48:58.049
124,25.4,24.8,0.243,0.525,0.0,19.5,24.9,9.417,112.2,3.0,2.228,1.322,20.4,9.417,10:48:59.168
125,25.4,24.8,0.284,0.555,0.0,18.4,24.9,9.453,112.2,3.0,2.115,1.888,21.1,9.453,10:49:00.269
126,25.4,24.8,0.294,0.511,0.0,19.8,24.9,9.527,112.2,3.0,2.266,1.888,20.7,9.527,10:49:01.372
127,27.5,24.8,0.352,0.624,0.0,18.6,26.4,9.569,112.2,3.0,1.435,1.661,20.9,9.569,10:49:02.479
128,25.4,26.3,0.211,0.598,0.0,19.1,24.9,9.629,112.2,3.0,1.661,2.077,20.7,9.629,10:49:03.580
129,27.5,24.8,0.222,0.564,0.0,18.6,26.3,9.495,112.2,3.0,2.266,1.775,20.9,9.495,10:49:04.681
130,25.5,24.8,0.245,0.582,0.0,19.8,24.9,9.525,112.2,3.0,1.699,2.756,21.1,9.525,10:49:05.787
131,25.5,26.3,0.26,0.533,0.0,19.8,24.9,9.537,112.2,3.0,2.001,1.964,20.7,9.537,10:49:06.905
132,27.6,24.8,0.291,0.582,0.0,18.8,26.4,9.739,112.2,3.0,1.661,1.888,21.1,9.739,10:49:08.011
133,27.5,24.8,0.237,0.536,0.0,19.3,26.3,9.573,112.2,3.0,1.775,2.643,21.1,9.573,10:49:09.135
134,25.5,26.3,0.363,0.524,0.0,19.1,24.9,9.449,112.2,3.0,1.737,1.473,20.7,9.449,10:49:10.241
135,27.6,24.8,0.303,0.596,0.0,19.3,26.3,9.568,112.2,3.0,1.964,1.586,20.7,9.568,10:49:11.346
136,27.6,24.8,0.245,0.482,0.0,18.6,24.9,9.687,112.2,3.0,2.341,2.039,21.1,9.687,10:49:12.469
137,27.6,24.8,0.233,0.543,0.0,18.8,24.9,9.569,112.2,3.0,1.322,2.228,20.9,9.569,10:49:13.593
138,25.5,24.8,0.309,0.646,0.0,18.8,24.9,9.876,112.2,3.0,2.341,1.85,21.1,9.876,10:49:14.697
139,27.6,24.8,0.284,0.574,0.0,18.6,26.4,9.58,112.2,3.0,1.548,1.85,21.1,9.58,10:49:15.804
140,25.5,24.8,0.43,0.564,0.0,18.6,24.9,9.529,112.2,3.0,1.548,1.548,21.1,9.529,10:49:16.925
141,25.5,26.2,0.275,0.555,0.0,18.6,24.9,9.798,112.2,3.0,2.039,1.548,20.7,9.798,10:49:18.044
142,27.6,24.8,0.278,0.529,0.0,18.8,26.4,9.672,112.2,3.0,1.624,2.039,21.1,9.672,10:49:19.147
143,25.5,26.3,0.309,0.63,0.0,18.8,24.9,9.575,112.2,3.0,1.737,1.661,21.1,9.575,10:49:20.249
144,25.5,24.8,0.259,0.587,0.0,18.4,26.4,9.71,112.2,3.0,1.548,2.53,20.9,9.71,10:49:21.354
145,25.5,24.8,0.276,0.524,0.0,18.6,24.9,9.646,112.2,3.0,1.397,2.568,21.1,9.646,10:49:22.457
146,25.5,26.3,0.216,0.508,0.0,19.1,24.9,9.612,112.2,3.0,2.115,1.284,20.9,9.612,10:49:23.576
147,27.6,24.8,0.366,0.571,0.0,18.8,26.4,9.385,112.2,3.0,2.53,2.605,20.9,9.385,10:49:24.680
148,27.6,24.8,0.291,0.591,0.0,18.8,24.9,9.566,112.2,3.0,1.888,1.85,21.1,9.566,10:49:25.799
149,25.5,24.8,0.28,0.631,0.0,18.8,24.9,9.791,112.2,3.0,2.568,1.586,21.6,9.791,10:49:26.905
150,25.5,24.8,0.261,0.56,0.0,18.8,26.4,9.683,112.2,3.0,1.133,2.001,21.1,9.683,10:49:28.024
151,27.6,24.8,0.294,0.596,0.0,19.3,26.4,9.518,112.2,3.0,1.888,1.926,21.3,9.518,10:49:29.146
152,27.6,24.8,0.289,0.544,0.0,18.8,24.9,9.881,112.2,3.0,1.397,1.699,20.7,9.881,10:49:30.267
153,25.5,24.8,0.294,0.501,0.0,19.3,24.9,9.598,112.2,3.0,1.964,2.53,20.7,9.598,10:49:31.376
154,27.6,24.8,0.284,0.654,0.0,18.8,26.4,9.504,112.2,3.0,2.077,2.001,21.1,9.504,10:49:32.480
155,27.6,24.8,0.316,0.503,0.0,19.3,24.9,9.521,112.2,3.0,1.359,1.586,20.7,9.521,10:49:33.602
156,25.5,26.3,0.179,0.565,0.0,19.8,24.9,9.594,112.2,3.0,1.699,2.228,20.7,9.594,10:49:34.723
157,25.5,24.8,0.271,0.603,0.0,18.6,26.4,9.766,112.2,3.0,1.548,2.152,21.1,9.766,10:49:35.841
158,25.5,24.8,0.41,0.56,0.0,19.1,26.4,9.615,112.2,3.0,2.039,2.228,21.1,9.615,10:49:36.961
159,27.6,24.8,0.271,0.593,0.0,19.3,24.9,9.482,112.2,3.0,1.435,2.568,21.1,9.482,10:49:38.091
160,25.5,24.8,0.305,0.591,0.0,19.1,24.9,9.413,112.2,3.0,1.888,1.699,21.6,9.413,10:49:39.192
161,25.5,24.8,0.251,0.521,0.0,19.3,24.9,9.631,112.2,3.0,1.775,1.661,20.7,9.631,10:49:40.318
162,27.6,24.8,0.223,0.577,0.0,18.8,26.4,9.57,112.2,3.0,2.152,2.454,21.1,9.57,10:49:41.424
163,25.5,26.3,0.298,0.548,0.0,19.3,24.9,9.756,112.2,3.0,2.039,1.284,20.9,9.756,10:49:42.528
