Log,mixer_motor_temperature_M1,cp_flowrate,ac_flowrate,mixer_speed_M2,cp_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,cp_temperature,mixer_motor_temperature_M2,mixer_torque_M2,mixer_pressure,mixer_torque_M1,mixer_speed_M1,Time
445,21.8,1.5,51.6,119.779,0.739,25.0,23.9,24.5,24.1,3.096,0.286,3.096,119.779,11:56:10.306
446,22.5,1.5,51.6,120.542,0.751,25.0,23.9,26.0,24.5,2.832,0.298,3.512,120.542,11:56:11.426
447,22.3,1.5,51.6,119.771,0.759,27.1,23.9,24.6,24.1,3.587,0.261,4.116,119.771,11:56:12.548
448,22.3,1.5,51.6,119.357,0.719,25.0,25.3,24.5,24.5,2.983,0.299,4.38,119.357,11:56:13.670
449,22.5,1.5,51.6,120.063,0.779,25.0,23.9,24.5,24.3,3.927,0.316,3.021,120.063,11:56:14.787
450,21.8,1.5,51.6,120.397,0.782,25.0,23.9,26.0,24.3,2.832,0.256,4.078,120.397,11:56:15.909
451,21.3,1.5,51.6,120.421,0.812,27.1,23.9,26.0,24.3,4.418,0.281,3.927,120.421,11:56:17.035
452,22.3,1.5,51.6,120.242,0.786,27.1,23.9,26.0,24.3,3.172,0.295,3.323,120.242,11:56:18.178
453,21.6,1.5,51.6,119.561,0.656,25.0,23.9,26.0,24.1,4.682,0.298,2.719,119.561,11:56:19.329
454,22.0,1.5,51.6,119.824,0.709,25.0,23.9,24.6,24.3,3.663,0.25,3.361,119.824,11:56:20.487
455,21.8,1.5,51.6,121.174,0.759,25.0,23.9,24.5,24.3,3.398,0.293,3.096,121.174,11:56:21.622
456,22.5,1.5,51.6,120.273,0.793,25.1,23.9,24.5,24.3,4.342,0.299,3.21,120.273,11:56:22.765
457,22.0,1.5,51.6,119.724,0.759,25.1,23.9,26.0,25.0,3.738,0.281,4.342,119.724,11:56:23.896
458,21.8,1.5,51.6,120.44,0.719,25.0,23.9,26.0,24.3,3.965,0.294,3.814,120.44,11:56:25.031
459,22.5,1.5,51.6,120.973,0.731,27.1,23.9,24.5,24.3,3.965,0.288,3.361,120.973,11:56:26.152
460,22.5,1.5,51.6,119.975,0.819,27.1,23.9,24.6,24.5,4.569,0.328,3.096,119.975,11:56:27.292
461,21.8,1.5,51.6,120.337,0.824,27.1,25.4,24.5,24.3,2.756,0.291,3.625,120.337,11:56:28.415
462,22.3,1.5,51.6,120.936,0.715,27.1,25.4,24.5,24.3,3.172,0.25,3.474,120.936,11:56:29.551
463,21.8,1.5,51.6,120.541,0.663,27.1,25.4,24.6,24.1,3.625,0.273,3.247,120.541,11:56:30.691
464,21.6,1.5,51.6,119.782,0.743,25.1,25.4,24.5,24.5,3.738,0.303,2.001,119.782,11:56:31.824
465,22.3,1.5,51.6,119.889,0.769,25.1,25.4,24.6,24.3,3.738,0.254,4.116,119.889,11:56:32.960
466,22.3,1.5,51.6,119.691,0.751,25.1,25.4,24.5,24.3,4.116,0.294,3.814,119.691,11:56:34.100
467,22.5,1.5,51.6,119.756,0.819,25.1,23.9,24.5,24.8,3.663,0.281,3.512,119.756,11:56:35.235
468,22.0,1.5,51.6,118.722,0.719,25.1,23.9,24.6,24.5,3.247,0.337,4.078,118.722,11:56:36.368
469,22.5,1.5,51.6,121.043,0.719,25.1,23.9,24.5,24.3,3.814,0.304,3.512,121.043,11:56:37.509
470,22.3,1.5,51.6,119.872,0.786,25.1,23.9,26.0,24.8,3.965,0.284,4.191,119.872,11:56:38.644
471,21.8,1.5,51.6,120.74,0.767,25.1,23.9,26.0,24.5,4.342,0.289,2.605,120.74,11:56:39.776
472,21.8,1.5,51.6,119.221,0.793,25.1,23.9,26.0,24.3,2.908,0.269,4.871,119.221,11:56:40.912
473,21.8,1.5,51.6,119.492,0.697,25.1,23.9,26.0,24.3,3.474,0.266,3.927,119.492,11:56:42.051
474,22.3,1.5,51.6,120.812,0.712,25.1,23.9,26.0,25.0,3.323,0.293,3.927,120.812,11:56:43.189
475,22.7,1.5,51.6,119.699,0.748,25.1,23.9,26.0,25.0,3.738,0.284,3.134,119.699,11:56:44.349
476,21.8,1.5,51.6,120.001,0.739,25.1,23.9,24.5,24.5,4.305,0.265,3.625,120.001,11:56:45.500
477,22.3,1.5,51.6,119.91,0.773,25.1,23.9,24.6,24.5,3.776,0.327,3.927,119.91,11:56:46.640
478,21.8,1.5,51.6,119.948,0.748,25.1,25.4,24.6,25.0,3.889,0.269,2.945,119.948,11:56:47.793
479,22.7,1.5,51.6,120.116,0.71,25.1,23.9,24.6,24.8,2.908,0.273,3.663,120.116,11:56:48.927
480,22.3,1.5,51.6,119.728,0.739,27.2,25.4,24.6,24.3,4.154,0.27,4.078,119.728,11:56:50.081
481,22.0,1.5,51.6,120.284,0.73,27.1,25.4,24.6,24.8,4.72,0.276,3.247,120.284,11:56:51.222
482,22.0,1.5,51.6,119.241,0.754,25.1,25.4,24.6,25.2,3.7,0.327,3.587,119.241,11:56:52.357
483,22.0,1.5,51.6,119.748,0.757,25.1,23.9,24.6,24.5,3.096,0.259,3.663,119.748,11:56:53.494
484,22.3,1.5,51.6,119.941,0.767,25.1,23.9,24.6,25.0,3.776,0.264,3.776,119.941,11:56:54.631
485,22.5,1.5,51.6,119.963,0.748,27.2,25.4,24.6,25.0,4.531,0.316,3.059,119.963,11:56:55.768
486,21.8,1.5,51.6,120.621,0.758,25.1,23.9,24.6,24.5,3.398,0.337,3.587,120.621,11:56:56.904
487,22.7,1.5,51.6,120.011,0.719,25.1,23.9,24.6,24.5,3.663,0.321,4.003,120.011,11:56:58.042
488,22.3,1.5,51.6,119.836,0.806,25.1,23.9,24.6,24.8,3.625,0.269,3.059,119.836,11:56:59.178
489,21.8,1.5,51.6,119.805,0.721,25.1,24.0,24.6,25.0,3.474,0.275,3.134,119.805,11:57:00.327
490,22.3,1.5,51.6,119.74,0.71,25.1,24.0,24.6,24.5,3.965,0.211,3.852,119.74,11:57:01.478
491,22.3,1.5,51.6,119.768,0.724,25.1,24.0,24.6,24.5,3.625,0.288,4.04,119.768,11:57:02.609
492,22.0,1.5,51.6,120.224,0.736,25.1,23.9,24.6,24.5,3.7,0.294,3.247,120.224,11:57:03.746
493,22.9,1.5,51.6,119.799,0.762,25.1,24.0,24.6,25.0,3.814,0.342,3.852,119.799,11:57:04.880
494,22.5,1.5,51.6,119.426,0.753,25.1,24.0,26.0,24.8,4.38,0.25,3.436,119.426,11:57:06.017
495,22.0,1.5,51.6,120.226,0.707,25.1,24.0,26.0,24.8,4.003,0.283,4.418,120.226,11:57:07.152
496,22.5,1.5,51.6,120.023,0.706,25.1,24.0,26.0,24.8,4.116,0.308,2.454,120.023,11:57:08.306
497,22.9,1.5,51.6,120.903,0.746,25.1,24.0,26.0,24.5,3.021,0.27,3.323,120.903,11:57:09.443
498,22.7,1.5,51.6,119.786,0.764,25.1,24.0,26.0,25.0,3.852,0.265,3.21,119.786,11:57:10.580
499,22.9,1.5,51.6,121.614,0.746,25.1,24.0,26.0,25.0,3.889,0.321,3.512,121.614,11:57:11.715
500,23.2,1.5,51.6,119.249,0.772,25.1,24.0,26.0,24.8,3.814,0.299,4.154,119.249,11:57:12.850
501,22.9,1.5,51.6,120.351,0.714,25.1,24.0,26.0,25.4,4.116,0.237,3.852,120.351,11:57:13.988
502,22.3,1.5,51.6,120.297,0.734,25.1,24.0,26.0,24.5,3.889,0.265,3.323,120.297,11:57:15.125
503,22.5,1.5,51.6,119.982,0.73,25.1,24.0,26.0,25.0,4.154,0.28,3.059,119.982,11:57:16.263
504,22.0,1.5,51.6,119.561,0.64,25.1,24.0,24.6,25.2,3.512,0.305,5.135,119.561,11:57:17.396
505,22.3,1.5,51.6,120.021,0.762,25.1,24.0,24.6,25.0,5.135,0.308,4.078,120.021,11:57:18.534
506,22.7,1.5,51.6,119.996,0.714,25.1,24.0,24.6,25.0,3.776,0.275,4.38,119.996,11:57:19.670
507,22.9,1.5,51.6,119.778,0.658,27.2,25.4,24.6,25.0,4.342,0.286,3.021,119.778,11:57:20.806
508,22.9,1.5,51.6,119.93,0.782,27.2,25.5,24.6,25.2,2.983,0.303,3.059,119.93,11:57:21.945
509,22.9,1.5,51.6,119.839,0.819,27.2,25.5,24.6,24.5,4.229,0.305,3.549,119.839,11:57:23.076
510,23.2,1.5,51.6,120.473,0.707,27.2,25.5,24.6,25.0,3.927,0.288,3.927,120.473,11:57:24.212
511,22.3,1.5,51.6,119.567,0.748,27.2,25.5,24.6,24.8,4.154,0.286,3.814,119.567,11:57:25.350
512,22.9,1.5,51.6,119.365,0.736,27.2,25.5,24.6,25.2,3.852,0.338,4.003,119.365,11:57:26.501
513,21.8,1.5,51.6,120.469,0.659,27.2,25.5,24.6,25.2,4.003,0.294,4.04,120.469,11:57:27.636
514,22.5,1.5,51.6,120.117,0.802,27.2,25.5,24.6,24.8,3.965,0.309,2.832,120.117,11:57:28.775
515,22.5,1.5,51.6,120.353,0.748,25.1,24.0,24.6,25.0,3.059,0.248,3.512,120.353,11:57:29.930
516,22.3,1.5,51.6,119.782,0.702,27.2,25.5,24.6,24.8,5.362,0.295,3.776,119.782,11:57:31.069
517,22.9,1.5,51.6,119.721,0.789,25.1,24.0,24.6,25.0,4.229,0.355,4.305,119.721,11:57:32.212
518,22.7,1.5,51.6,119.454,0.748,25.1,24.0,24.6,25.2,3.663,0.236,3.663,119.454,11:57:33.361
519,21.8,1.5,51.6,119.948,0.789,25.1,24.0,24.6,25.0,3.361,0.248,4.078,119.948,11:57:34.496
520,22.9,1.5,51.6,119.347,0.796,25.2,24.0,24.6,25.4,3.512,0.289,3.852,119.347,11:57:35.631
521,21.8,1.5,51.6,119.632,0.782,25.1,25.5,24.6,25.2,4.644,0.299,3.285,119.632,11:57:36.773
522,22.3,1.5,51.6,120.478,0.758,25.1,25.5,24.6,25.7,4.569,0.275,4.38,120.478,11:57:37.915
523,23.4,1.5,51.6,119.824,0.759,25.2,25.5,24.6,25.0,5.324,0.293,3.852,119.824,11:57:39.053
524,22.9,1.5,51.6,120.72,0.769,25.1,25.5,24.6,25.2,3.474,0.284,3.323,120.72,11:57:40.191
525,22.9,1.5,51.6,120.815,0.787,25.1,25.5,24.6,25.2,4.154,0.26,2.417,120.815,11:57:41.339
526,22.9,1.5,51.6,120.053,0.726,25.2,25.5,24.6,25.2,3.663,0.286,3.663,120.053,11:57:42.474
527,22.9,1.5,51.6,120.167,0.743,27.2,25.5,24.6,25.0,3.436,0.314,4.342,120.167,11:57:43.606
528,22.9,1.5,51.6,120.186,0.646,27.2,25.5,24.6,25.0,3.474,0.31,3.436,120.186,11:57:44.746
529,22.7,1.5,51.6,119.609,0.745,27.2,25.5,24.6,25.0,3.512,0.261,3.361,119.609,11:57:45.880
530,22.7,1.5,51.6,120.967,0.757,27.2,25.5,24.6,25.4,3.927,0.266,3.625,120.967,11:57:47.023
531,22.9,1.5,51.6,119.996,0.75,27.2,25.5,24.6,25.4,3.361,0.278,4.493,119.996,11:57:48.168
532,22.9,1.5,51.6,120.045,0.787,27.2,25.5,24.6,25.0,3.398,0.281,2.87,120.045,11:57:49.300
533,22.5,1.5,51.6,120.652,0.743,27.2,25.5,24.6,25.2,3.398,0.251,3.172,120.652,11:57:50.440
534,23.4,1.5,51.6,119.819,0.724,27.2,24.1,24.6,25.4,4.267,0.289,3.625,119.819,11:57:51.572
535,22.3,1.5,51.6,119.852,0.776,25.2,24.0,24.6,25.0,4.305,0.283,4.229,119.852,11:57:52.701
536,22.5,1.5,51.6,119.61,0.781,25.2,24.1,26.0,25.2,3.852,0.284,2.794,119.61,11:57:53.836
537,22.3,1.5,51.6,119.887,0.757,27.2,24.0,24.6,25.4,3.738,0.259,3.738,119.887,11:57:54.992
538,22.9,1.5,51.6,119.91,0.758,27.2,24.1,24.6,25.4,3.814,0.286,4.644,119.91,11:57:56.147
539,22.9,1.5,51.6,120.869,0.735,27.2,24.1,24.6,24.8,4.796,0.299,3.398,120.869,11:57:57.285
540,23.2,1.5,51.6,120.362,0.829,27.2,24.1,24.6,25.4,2.908,0.255,3.663,120.362,11:57:58.420
541,22.9,1.5,51.6,120.318,0.792,27.2,24.1,24.6,25.2,3.436,0.273,3.21,120.318,11:57:59.558
542,23.4,1.5,51.6,120.387,0.692,27.2,24.1,24.6,25.0,3.927,0.295,3.436,120.387,11:58:00.694
543,22.3,1.5,51.6,119.618,0.764,27.2,24.1,24.6,25.7,4.003,0.276,2.832,119.618,11:58:01.832
544,22.7,1.5,51.6,119.839,0.73,25.2,24.1,26.0,25.0,3.474,0.28,4.342,119.839,11:58:02.967
545,22.7,1.5,51.6,118.953,0.758,25.2,24.1,26.0,25.4,4.267,0.3,5.098,118.953,11:58:04.104
546,23.2,1.5,51.6,120.101,0.759,25.2,24.1,26.0,25.0,3.965,0.347,3.474,120.101,11:58:05.244
547,23.2,1.5,51.6,119.307,0.753,25.2,24.1,26.0,25.4,3.927,0.303,3.361,119.307,11:58:06.376
548,22.9,1.5,51.6,120.174,0.688,25.2,24.1,26.0,25.2,3.814,0.293,3.889,120.174,11:58:07.527
549,23.8,1.5,51.6,120.06,0.74,27.3,24.1,24.6,25.0,3.587,0.293,3.965,120.06,11:58:08.677
550,22.5,1.5,51.6,120.032,0.734,27.2,24.1,24.6,25.4,4.644,0.289,2.756,120.032,11:58:09.818
551,22.7,1.5,51.6,120.78,0.758,27.3,25.5,24.6,25.7,3.474,0.26,3.663,120.78,11:58:10.968
552,22.5,1.5,51.6,120.089,0.724,27.3,24.1,24.6,25.2,3.474,0.322,4.38,120.089,11:58:12.105
553,23.4,1.5,51.6,120.503,0.725,27.3,24.1,24.6,25.4,3.587,0.322,3.361,120.503,11:58:13.241
554,22.9,1.5,51.6,119.955,0.802,27.3,24.1,24.6,25.4,3.587,0.256,3.285,119.955,11:58:14.380
555,23.2,1.5,51.6,120.42,0.773,27.2,24.1,26.0,25.0,4.644,0.294,3.21,120.42,11:58:15.518
556,22.3,1.5,51.6,119.809,0.834,27.3,24.1,26.0,25.2,3.738,0.276,4.116,119.809,11:58:16.650
557,23.8,1.5,51.6,119.836,0.772,25.2,24.1,26.0,25.4,4.003,0.271,3.852,119.836,11:58:17.786
558,22.9,1.5,51.6,119.861,0.762,25.2,24.1,26.0,25.4,3.398,0.314,4.72,119.861,11:58:18.923
559,22.7,1.5,51.6,120.007,0.706,25.2,24.1,26.0,25.4,4.003,0.314,3.814,120.007,11:58:20.060
560,22.5,1.5,51.6,119.96,0.684,25.2,24.1,26.0,25.2,4.04,0.321,3.587,119.96,11:58:21.201
561,22.9,1.5,51.6,120.209,0.839,27.3,24.1,26.0,25.4,3.738,0.283,3.549,120.209,11:58:22.352
562,22.3,1.5,51.6,119.984,0.75,27.3,24.1,26.0,25.4,3.965,0.304,3.814,119.984,11:58:23.491
563,22.9,1.5,51.6,119.814,0.714,27.3,24.1,24.6,25.9,4.078,0.227,4.154,119.814,11:58:24.646
564,23.6,1.5,51.6,120.347,0.734,27.3,24.1,24.6,25.4,4.003,0.294,3.398,120.347,11:58:25.779
565,22.7,1.5,51.6,119.873,0.667,25.2,24.1,26.0,25.0,3.474,0.259,3.738,119.873,11:58:26.909
566,22.3,1.5,51.6,119.239,0.715,25.2,24.1,26.0,25.2,4.003,0.304,4.531,119.239,11:58:28.058
567,23.4,1.5,51.6,120.153,0.826,25.2,24.1,26.0,25.9,4.267,0.276,4.191,120.153,11:58:29.194
568,23.2,1.5,51.6,119.748,0.786,25.2,24.1,26.0,25.4,4.531,0.308,2.983,119.748,11:58:30.338
569,23.4,1.5,51.6,120.18,0.71,27.3,24.1,24.6,25.7,3.776,0.273,3.814,120.18,11:58:31.492
570,22.9,1.5,51.6,120.533,0.731,25.2,24.1,24.6,25.7,4.229,0.214,4.493,120.533,11:58:32.639
571,22.9,1.5,51.6,119.844,0.74,25.2,25.6,24.6,25.4,4.607,0.243,3.814,120.07,11:58:33.789
572,23.4,1.5,51.6,119.792,0.754,25.2,24.1,24.6,25.4,3.474,0.237,4.531,119.792,11:58:34.926
573,23.2,1.5,51.6,120.556,0.692,25.2,24.1,24.6,25.4,4.607,0.294,3.852,120.556,11:58:36.066
574,23.4,1.5,51.6,120.09,0.74,25.2,24.1,26.0,25.4,3.549,0.289,4.078,120.09,11:58:37.178
575,22.5,1.5,51.6,119.863,0.674,25.2,24.1,26.0,25.7,3.172,0.286,2.908,119.863,11:58:38.315
576,23.6,1.5,51.6,120.017,0.743,25.2,24.1,26.0,25.4,3.512,0.271,3.549,120.017,11:58:39.453
577,22.9,1.5,51.6,119.744,0.802,25.2,24.1,24.6,25.4,4.682,0.299,3.852,119.744,11:58:40.588
578,23.6,1.5,51.6,120.393,0.751,25.2,24.1,24.6,25.4,4.191,0.284,3.436,120.393,11:58:41.725
579,23.4,1.5,51.6,118.038,0.767,27.3,24.1,26.0,25.4,3.512,0.271,5.437,118.038,11:58:42.882
580,23.2,1.5,51.6,120.053,0.71,27.3,24.1,26.0,25.4,3.738,0.273,3.738,120.053,11:58:44.024
581,22.9,1.5,51.6,120.077,0.753,27.3,24.1,26.0,25.9,3.776,0.273,4.04,120.077,11:58:45.165
582,22.5,1.5,51.6,119.597,0.793,25.2,24.1,24.6,25.9,4.456,0.255,2.643,119.597,11:58:46.335
583,23.4,1.5,51.6,119.549,0.787,25.2,24.1,24.6,25.7,3.436,0.265,4.72,119.549,11:58:47.470
584,22.5,1.5,51.6,119.542,0.758,27.3,24.1,24.6,25.9,3.587,0.25,4.947,119.542,11:58:48.605
585,22.9,1.5,51.6,120.639,0.774,27.3,24.1,24.6,25.9,4.154,0.355,3.738,120.639,11:58:49.738
586,23.8,1.5,51.6,118.995,0.75,27.3,24.1,26.0,25.7,4.267,0.28,4.116,118.995,11:58:50.876
587,23.4,1.5,51.6,120.218,0.763,25.2,24.1,24.6,25.9,4.644,0.208,4.569,120.218,11:58:52.029
588,23.4,1.5,51.6,119.377,0.798,25.2,24.1,24.6,25.7,3.398,0.293,4.984,119.377,11:58:53.170
589,22.9,1.5,51.6,120.007,0.779,27.3,24.1,24.6,25.9,3.398,0.275,2.756,120.007,11:58:54.302
590,23.8,1.5,51.6,121.465,0.729,27.3,24.1,24.6,25.4,3.172,0.266,3.021,121.465,11:58:55.439
591,22.7,1.5,51.6,120.618,0.715,27.3,24.1,26.0,25.4,4.305,0.271,3.927,120.618,11:58:56.575
592,22.9,1.5,51.6,120.325,0.736,27.3,24.1,26.0,25.4,4.154,0.298,4.456,120.325,11:58:57.710
593,22.9,1.5,51.6,119.496,0.839,27.3,24.1,26.0,25.9,3.814,0.284,3.21,119.496,11:58:58.846
594,22.7,1.5,51.6,119.612,0.773,27.3,24.1,26.0,25.9,3.361,0.308,4.191,119.612,11:58:59.985
595,23.4,1.5,51.6,119.505,0.772,27.3,24.1,26.0,25.9,4.38,0.298,3.814,119.505,11:59:01.122
596,22.3,1.5,51.6,120.122,0.759,27.3,24.1,26.0,25.7,4.493,0.276,2.87,120.122,11:59:02.261
597,23.4,1.5,51.6,119.368,0.773,27.3,24.1,26.1,26.1,3.587,0.27,4.267,119.368,11:59:03.399
598,23.8,1.5,51.6,120.177,0.812,25.2,24.1,24.6,25.9,3.965,0.276,4.04,120.177,11:59:04.533
599,23.4,1.5,51.6,119.772,0.786,27.3,24.2,26.0,25.7,3.436,0.243,4.229,119.772,11:59:05.684
600,23.4,1.5,51.6,119.295,0.74,27.3,24.2,26.0,25.7,4.267,0.283,2.908,119.295,11:59:06.836
601,23.2,1.5,51.6,119.678,0.712,27.3,24.1,26.0,26.1,3.738,0.266,3.965,119.678,11:59:07.977
602,23.2,1.5,51.6,119.548,0.696,27.3,24.2,26.1,25.7,4.04,0.254,4.38,119.548,11:59:09.111
603,22.7,1.5,51.6,121.094,0.764,25.3,24.2,26.0,26.1,3.738,0.275,3.7,121.094,11:59:10.246
604,23.4,1.5,51.6,120.417,0.792,25.3,24.2,26.0,25.9,3.361,0.243,3.096,120.417,11:59:11.382
605,22.7,1.5,51.6,119.82,0.836,25.3,24.2,26.1,25.9,3.852,0.333,3.738,119.82,11:59:12.519
606,23.4,1.5,51.6,119.732,0.724,25.3,24.2,26.1,25.9,3.247,0.278,4.342,119.732,11:59:13.660
607,22.9,1.5,51.6,119.987,0.762,25.3,24.2,24.6,25.9,3.776,0.276,3.285,119.987,11:59:14.799
608,23.4,1.5,51.6,120.203,0.853,25.3,24.2,26.1,25.9,2.983,0.271,3.096,120.203,11:59:15.939
609,23.2,1.5,51.6,119.83,0.787,27.3,24.2,26.0,25.7,3.625,0.319,4.72,119.83,11:59:17.087
610,22.9,1.5,51.6,120.486,0.748,25.3,24.2,26.1,26.3,3.7,0.305,4.267,120.486,11:59:18.222
611,23.2,1.5,51.6,119.55,0.706,25.3,24.2,26.0,25.9,3.852,0.291,3.436,119.469,11:59:19.359
612,23.4,1.5,51.6,121.441,0.801,27.3,24.2,26.1,26.1,4.154,0.275,2.945,121.441,11:59:20.511
613,23.4,1.5,51.6,119.954,0.739,27.3,24.2,26.1,26.1,3.398,0.291,4.078,119.954,11:59:21.664
614,23.2,1.5,51.6,119.793,0.776,25.3,24.2,24.6,25.9,3.814,0.286,2.756,119.793,11:59:22.826
615,23.4,1.5,51.6,119.805,0.776,25.3,25.7,24.6,26.1,4.003,0.261,3.852,119.805,11:59:23.981
616,22.9,1.5,51.6,119.719,0.768,25.3,25.7,24.6,26.1,4.493,0.248,4.342,119.719,11:59:25.114
617,23.8,1.5,51.6,120.589,0.779,25.2,25.7,24.6,25.9,4.003,0.294,3.323,120.589,11:59:26.256
618,23.8,1.5,51.6,120.038,0.767,25.3,25.7,24.6,26.1,4.04,0.24,4.191,120.038,11:59:27.391
619,23.8,1.5,51.6,120.073,0.792,25.3,24.2,24.6,26.1,4.456,0.295,3.549,120.073,11:59:28.525
620,23.2,1.5,51.6,119.953,0.779,25.3,24.2,24.6,25.9,3.436,0.303,4.04,119.953,11:59:29.662
621,23.4,1.5,51.6,120.007,0.759,25.3,24.2,24.6,26.1,3.625,0.276,3.059,120.007,11:59:30.806
622,23.8,1.5,51.6,120.075,0.726,25.3,24.2,24.6,25.9,2.832,0.243,4.04,120.075,11:59:31.945
623,23.8,1.5,51.6,119.739,0.688,25.3,24.2,24.6,25.7,4.154,0.26,4.191,119.739,11:59:33.080
624,22.9,1.5,51.6,120.715,0.806,25.3,25.7,24.6,25.9,4.078,0.28,3.436,120.715,11:59:34.230
625,23.4,1.5,51.6,119.539,0.763,25.3,24.2,24.6,25.9,3.587,0.327,3.625,119.539,11:59:35.367
626,23.8,1.5,51.6,120.358,0.796,25.3,24.2,24.6,25.9,4.267,0.26,3.398,120.358,11:59:36.510
627,23.4,1.5,51.6,119.503,0.72,25.3,24.2,24.6,25.9,4.644,0.283,4.418,119.503,11:59:37.646
628,23.8,1.5,51.6,120.325,0.767,25.3,24.2,24.6,25.9,3.889,0.281,3.927,120.325,11:59:38.789
629,23.8,1.5,51.6,120.001,0.814,27.3,24.2,26.1,25.9,3.512,0.283,3.852,120.001,11:59:39.910
630,23.4,1.5,51.6,119.942,0.784,27.3,24.2,26.1,26.6,4.38,0.24,3.965,119.942,11:59:41.046
631,23.8,1.5,51.6,119.814,0.787,27.3,24.2,26.1,25.9,4.493,0.216,4.38,119.814,11:59:42.184
632,23.4,1.5,51.6,119.785,0.759,27.4,24.2,26.1,25.9,3.814,0.264,4.003,119.785,11:59:43.324
633,23.4,1.5,51.6,119.85,0.764,27.4,24.2,26.1,25.9,3.549,0.281,4.04,119.85,11:59:44.465
634,23.6,1.5,51.6,118.895,0.769,27.3,24.2,26.1,25.9,3.663,0.245,5.966,118.895,11:59:45.616
635,23.8,1.5,51.6,121.215,0.768,25.3,24.2,24.6,26.3,4.569,0.24,2.908,121.215,11:59:46.772
636,23.8,1.5,51.6,120.029,0.746,25.3,24.2,24.7,25.7,3.323,0.266,3.663,120.029,11:59:47.916
637,23.6,1.5,51.6,120.024,0.725,25.3,24.2,24.6,25.9,4.078,0.275,3.587,120.024,11:59:49.052
638,24.1,1.5,51.6,118.444,0.729,25.3,25.7,24.6,26.1,4.04,0.308,4.682,118.444,11:59:50.206
639,23.6,1.5,51.6,119.193,0.793,25.3,25.7,24.7,26.6,3.625,0.255,4.154,119.193,11:59:51.354
640,23.8,1.5,51.6,119.553,0.778,25.3,25.7,24.6,26.1,3.549,0.338,4.305,119.553,11:59:52.496
641,23.8,1.5,51.6,120.552,0.753,25.3,24.2,24.6,26.3,4.418,0.333,5.249,120.552,11:59:53.647
642,23.8,1.5,51.6,120.73,0.75,25.3,24.2,24.6,26.6,4.607,0.317,3.172,120.73,11:59:54.787
643,23.4,1.5,51.6,120.386,0.724,25.3,24.2,24.7,26.3,2.832,0.281,3.549,120.386,11:59:55.935
644,23.8,1.5,51.6,119.744,0.758,27.4,24.2,26.1,26.6,4.078,0.291,4.493,119.744,11:59:57.089
645,23.4,1.5,51.6,120.108,0.787,25.3,24.2,24.7,25.9,4.267,0.286,3.7,120.108,11:59:58.226
646,23.8,1.5,51.6,119.125,0.764,25.3,24.2,24.7,26.3,4.644,0.308,4.003,119.125,11:59:59.364
647,23.2,1.5,51.6,121.412,0.811,25.3,24.2,24.7,26.3,3.323,0.319,3.814,121.412,12:00:00.498
648,23.4,1.5,51.6,120.6,0.754,25.3,24.2,24.6,26.6,3.285,0.288,3.625,120.6,12:00:01.633
649,23.2,1.5,51.6,120.304,0.789,25.3,24.2,24.7,26.6,4.154,0.27,2.832,120.304,12:00:02.773
650,24.3,1.5,51.6,119.956,0.846,25.3,24.2,24.7,26.3,3.134,0.245,4.078,119.956,12:00:03.925
651,24.1,1.5,51.6,119.673,0.815,27.3,24.2,26.1,26.3,4.531,0.295,4.154,119.673,12:00:05.079
652,24.5,1.5,51.6,119.749,0.743,27.3,24.2,26.1,26.6,4.267,0.338,3.965,119.749,12:00:06.214
653,23.8,1.5,51.6,120.927,0.741,25.3,24.2,24.7,26.6,3.474,0.308,3.323,120.927,12:00:07.380
654,23.2,1.5,51.6,119.841,0.731,27.4,24.2,26.1,27.0,4.531,0.355,3.398,119.841,12:00:08.514
655,23.8,1.5,51.6,119.645,0.753,25.3,24.3,24.6,26.6,3.587,0.304,4.456,119.645,12:00:09.666
656,24.1,1.5,51.6,119.971,0.769,25.3,24.2,24.7,26.1,3.096,0.304,2.908,119.971,12:00:10.804
657,23.6,1.5,51.6,120.753,0.73,27.4,24.2,26.1,26.6,3.134,0.291,3.625,120.753,12:00:11.935
658,23.8,1.5,51.6,119.825,0.725,27.3,24.2,26.1,26.6,5.74,0.291,3.889,119.825,12:00:13.071
659,23.6,1.5,51.6,119.233,0.691,27.4,24.3,26.1,26.6,3.965,0.248,5.664,119.233,12:00:14.211
660,23.8,1.5,51.6,119.503,0.726,25.3,24.3,24.6,26.6,3.663,0.303,3.814,119.503,12:00:15.362
661,23.6,1.5,51.6,120.047,0.817,25.3,24.3,24.7,26.6,4.305,0.303,4.04,120.047,12:00:16.503
662,23.2,1.5,51.6,119.218,0.83,25.3,24.2,24.7,26.3,4.116,0.237,5.362,119.218,12:00:17.641
663,24.3,1.5,51.6,120.217,0.762,25.3,24.3,24.7,26.1,4.154,0.259,3.625,120.217,12:00:18.797
664,23.4,1.5,51.6,120.918,0.769,25.3,25.7,24.7,26.6,5.06,0.271,3.587,120.918,12:00:19.950
665,24.1,1.5,51.6,119.381,0.773,25.3,25.7,24.7,26.6,4.229,0.284,3.965,119.381,12:00:21.084
666,24.3,1.5,51.6,120.526,0.767,25.3,25.7,24.7,26.6,4.003,0.309,3.965,120.526,12:00:22.225
667,24.3,1.5,51.6,118.315,0.786,25.3,25.7,24.7,26.6,3.663,0.332,4.607,118.315,12:00:23.363
