Log,mixer_torque_M2,cp_pressure,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_temperature_Funnel_plate,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,ac_flowrate,mixer_speed_M2,mixer_speed_M1,Time
208,2.077,0.773,0.0,1.5,0.314,26.1,25.4,25.6,23.6,21.3,1.964,0.0,39.896,39.896,14:24:43.201
209,1.775,0.782,0.0,1.5,0.295,26.1,25.4,27.1,23.2,21.6,1.661,0.0,20.373,20.373,14:24:44.326
210,2.341,0.789,0.0,1.5,0.299,26.1,25.4,27.1,23.2,21.3,1.775,0.0,20.235,20.235,14:24:45.462
211,1.737,0.768,0.0,1.5,0.295,28.2,25.4,25.6,23.8,21.6,3.021,0.0,20.345,20.345,14:24:46.579
212,1.964,0.84,0.0,1.5,0.281,28.2,26.9,25.6,23.4,21.3,1.624,0.0,20.836,20.836,14:24:47.701
213,1.246,0.798,0.0,1.5,0.227,26.1,25.4,25.6,22.9,21.1,1.057,0.0,20.934,20.934,14:24:48.822
214,2.756,0.774,0.0,1.5,0.275,26.1,25.4,27.1,23.8,21.3,1.812,0.0,20.117,20.117,14:24:49.943
215,2.643,0.763,0.0,1.5,0.273,26.1,25.4,25.6,23.4,22.0,2.001,0.0,21.219,21.219,14:24:51.061
216,1.586,0.789,0.0,1.5,0.251,26.1,25.4,25.6,23.2,22.0,1.586,0.0,20.475,20.475,14:24:52.191
217,2.341,0.773,0.0,1.5,0.232,28.2,26.9,25.6,23.4,21.8,2.152,0.0,20.382,20.382,14:24:53.313
218,2.945,0.796,0.0,1.5,0.358,26.1,25.4,27.1,23.2,21.8,1.548,0.0,20.445,20.445,14:24:54.412
219,2.152,0.774,0.0,1.5,0.283,28.2,26.9,25.6,23.2,22.0,2.077,0.0,20.871,20.871,14:24:55.518
220,2.266,0.825,0.0,1.5,0.276,28.2,26.9,25.6,23.2,21.6,2.303,0.0,20.69,20.69,14:24:56.641
221,2.492,0.789,0.0,1.5,0.295,26.1,25.4,25.6,23.4,21.8,2.19,0.0,20.022,20.022,14:24:57.764
222,2.077,0.774,0.0,1.5,0.281,26.1,25.4,27.1,23.2,21.8,2.115,0.0,20.533,20.533,14:24:58.887
223,2.341,0.782,0.0,1.5,0.31,26.1,25.4,25.6,23.4,21.3,2.568,0.0,20.292,20.292,14:25:00.010
224,2.077,0.759,0.0,1.5,0.273,28.2,26.9,25.6,23.2,21.3,2.19,0.0,21.067,21.067,14:25:01.132
225,2.454,0.764,0.0,1.5,0.231,28.2,26.9,25.6,23.4,21.3,2.341,0.0,20.003,20.003,14:25:02.268
226,1.699,0.753,0.0,1.5,0.233,28.2,25.4,25.6,23.4,21.3,1.51,0.0,20.539,20.539,14:25:03.391
